"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40007",103,112,245,88,177,76,90,115,219,836,108,237,-0.840518404177845,4.72232728326079,-2.24913495162842,0.0416405959138708,0.999924949130955,-4.27662296989093
"2","GB40217",66,86,95,42,123,60,61,132,114,184,63,157,-0.745042079986202,3.96034001295601,-4.0549929375862,0.00124970428762963,0.999924949130955,-3.93294855816294
"3","GB40228",2,21,3,1,17,5,4,37,16,40,6,23,-1.79809122610231,0.691701999762117,-3.21638125678255,0.00641849613779204,0.999924949130955,-4.43178827079904
"4","GB40387",96,220,234,86,252,155,36,145,121,142,91,186,0.361965110876903,4.49935995407732,2.41748413951848,0.0303113280858667,0.999924949130955,-4.23796221494313
"5","GB41126",110,163,259,106,353,155,81,274,239,317,170,368,-0.521931490365058,5.06482528936328,-3.08570044531777,0.00829560949061541,0.999924949130955,-4.01197348001252
"6","GB41376",236,292,277,292,150,300,286,282,1076,328,328,345,-0.833472741055358,5.74277679478698,-2.13714572524058,0.0512725452386595,0.999924949130955,-4.30826008814058
"7","GB41777",857,2211,3822,6145,3711,1556,355,896,1031,3275,1675,571,1.1607717790898,8.09786298280457,2.26020363056503,0.0407869856153112,0.999924949130955,-4.40681365738144
"8","GB41896",37,53,78,22,76,70,7,36,55,37,27,44,0.576755242685171,2.75532702318586,2.2640202117566,0.0404964937394718,0.999924949130955,-4.41773341111843
"9","GB41905",151,308,309,142,407,201,51,217,164,203,157,229,0.388160526893749,5.035262382621,2.44193762779985,0.0289329577354051,0.999924949130955,-4.20601290680477
"10","GB41917",619,682,1031,510,736,464,131,292,398,581,340,803,0.691920628582483,6.39401237268662,3.24780957975509,0.00603429113511666,0.999924949130955,-4.06574481002563
"11","GB42015",102,159,212,95,211,97,63,108,107,102,90,125,0.35848417078906,4.31833047947843,2.14624729854875,0.0504180804026263,0.999924949130955,-4.32554553332184
"12","GB42204",82,125,164,79,124,143,39,87,81,98,54,154,0.344004331975287,4.03635027062775,2.18898553843638,0.0465804287304199,0.999924949130955,-4.33548910459415
"13","GB42260",20,25,21,7,24,12,6,5,12,6,10,16,0.792660992702971,1.09131335190137,2.27333396305641,0.0397957591221868,0.999924949130955,-4.4915925972607
"14","GB42310",2705,3408,1727,739,2885,2439,21,186,4445,1515,194,414,2.45625431836341,7.22112454504795,2.40113170498052,0.0312678136604857,0.999924949130955,-4.34393865467401
"15","GB42469",21,29,53,15,61,44,14,64,130,63,30,82,-0.849793787859862,2.84490501900451,-2.68988879128992,0.0179634598471982,0.999924949130955,-4.34321853947478
"16","GB42549",3,43,35,6,24,35,27,115,24,100,29,46,-1.46628685973941,2.30989975625597,-2.89467212824675,0.012059022589027,0.999924949130955,-4.36428743672061
"17","GB42622",6,14,16,2,6,5,11,15,22,10,8,13,-0.938828449013687,0.735173008204493,-2.36771954419558,0.0333123409875931,0.999924949130955,-4.49472259746137
"18","GB42643",14,3,10,0,4,8,1,9,11,86,19,24,-1.9049002385706,0.46161801239062,-2.41392320274914,0.0305172055798084,0.999924949130955,-4.49699326405002
"19","GB42717",72,175,253,144,220,182,36,100,138,119,110,198,0.426047977220545,4.49182975958055,2.30299114513917,0.0376399065226567,0.999924949130955,-4.27184885741459
"20","GB42768",41,24,60,16,44,28,1,20,9,29,17,14,1.23393576776265,1.73793015521987,2.93708230762494,0.0110995835621222,0.999924949130955,-4.40088537664083
"21","GB42942",210,319,548,328,448,278,349,439,531,419,291,481,-0.504126817879253,6.00451593797724,-2.20289227189046,0.0453917685965492,0.999924949130955,-4.2978161693341
"22","GB43115",199,372,348,176,391,256,86,276,205,206,161,327,0.321559127432913,5.32068707440798,2.27185147431363,0.0399065261399625,0.999924949130955,-4.2561254324121
"23","GB43353",187,334,298,221,377,182,68,220,129,180,214,261,0.451494380698177,5.14378821715479,2.18488767750421,0.0469362062720176,0.999924949130955,-4.28386433483742
"24","GB43401",22,32,46,31,46,25,16,48,43,58,39,70,-0.588014566949662,2.68136448164951,-3.26774735004078,0.00580256245389382,0.999924949130955,-4.27462425481492
"25","GB43538",115,273,169,76,203,93,57,94,119,100,72,128,0.466101516170787,4.29198517774336,2.15302023371954,0.0497908587235102,0.999924949130955,-4.32662901590295
"26","GB43691",8,20,15,7,15,5,13,15,16,49,6,25,-0.861359368196226,1.25071766651532,-2.24516013406539,0.0419512139215973,0.999924949130955,-4.48920470756284
"27","GB43790",14,51,35,9,27,14,15,42,46,40,22,42,-0.737299841073012,2.1882099718409,-2.74067641690769,0.0162782573444323,0.999924949130955,-4.38845575417376
"28","GB44024",3840,7086,338,714,619,382,1135,6281,4808,12866,1462,5401,-1.85501184557235,8.46093927014911,-2.16340415569103,0.0488433455308898,0.999924949130955,-4.43838403373411
"29","GB44108",19,55,36,40,51,28,11,26,21,22,24,22,0.645970293518568,2.24485242463473,2.47488605223482,0.027170314406058,0.999924949130955,-4.41893476004911
"30","GB44188",123,208,295,122,289,168,70,132,137,152,115,248,0.324081714994039,4.77144452618879,2.46728003906375,0.0275678403928407,0.999924949130955,-4.20569369892554
"31","GB44333",593,855,1025,528,1024,523,257,485,572,755,389,836,0.338166248756075,6.71128413223915,2.27640051142325,0.0395675556487767,0.999924949130955,-4.32452404966323
"32","GB44613",22,23,34,12,31,22,11,48,43,40,22,39,-0.619971805345955,2.20858670508908,-2.73731121186381,0.0163849809355697,0.999924949130955,-4.3870061965828
"33","GB44712",38,148,67,31,95,40,28,54,30,40,25,41,0.659981342926986,2.99206576423911,2.17906155158295,0.0474464090808938,0.999924949130955,-4.41659792552937
"34","GB44760",41,71,84,42,64,79,12,44,32,39,53,73,0.489227234433185,3.04911263080266,2.17132704736195,0.0481317422351235,0.999924949130955,-4.41413823638831
"35","GB45200",6,43,57,23,49,34,24,45,40,73,29,71,-0.688924422490006,2.6265889264033,-2.39115413854461,0.0318654872645731,0.999924949130955,-4.40593608784087
"36","GB45332",3,11,15,5,15,6,11,13,10,21,9,15,-0.74294827925532,0.852626583366123,-2.51180413680889,0.025317674704358,0.999924949130955,-4.47964874945201
"37","GB45403",2,18,12,11,11,17,5,16,13,26,17,45,-0.939409020003443,1.20904488636759,-2.50769568801301,0.0255176844819642,0.999924949130955,-4.46647500493901
"38","GB45469",14,83,12,28,52,32,17,101,66,95,27,129,-1.27313614159245,2.85114381052574,-2.90538937132282,0.0118091212746231,0.999924949130955,-4.31115229553598
"39","GB45615",212,436,45,204,115,67,127,535,231,702,166,536,-1.4796898597645,5.16364896827185,-2.62457009421019,0.0203818621943369,0.999924949130955,-4.16754408885774
"40","GB45658",7,6,20,3,4,3,6,14,11,16,12,7,-0.944875679690992,0.496651953598959,-2.20414753109575,0.045285886531416,0.999924949130955,-4.51298371740257
"41","GB45726",167,339,274,129,372,183,81,186,146,196,145,231,0.358830047298196,5.02094310891708,2.37184809265256,0.033052988361788,0.999924949130955,-4.22663760590504
"42","GB45796",657,4639,5928,11287,8904,706,115,123,46,2513,908,251,3.4082197354634,7.34092101487807,3.10381639551689,0.00800592079394016,0.999924949130955,-4.23988638553485
"43","GB45797",33,99,200,541,375,147,4,13,0,239,52,21,3.27596434347227,3.05755144447777,2.96866310167396,0.0104344181881874,0.999924949130955,-4.32966484523
"44","GB46164",23,15,22,10,21,5,7,22,28,29,14,43,-0.793973667416948,1.60225300051236,-2.31531848012009,0.0367766900066653,0.999924949130955,-4.46896766991233
"45","GB46165",74,73,124,23,69,38,148,106,105,73,61,138,-0.819261224070305,3.73153324280135,-2.23050961493274,0.0431150187832869,0.999924949130955,-4.35278376885272
"46","GB46421",14,34,66,14,16,12,6,7,9,14,9,11,1.0495106432455,1.29882751572366,2.84858024927004,0.0131943970679289,0.999924949130955,-4.43196438218169
"47","GB46558",8,215,51,32,29,35,31,248,59,76,323,186,-1.68510411303801,3.50672411732692,-2.650110211264,0.0194007986195775,0.999924949130955,-4.29666831279011
