"","ID","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB44024",328,653,182,173,338,619,3148,2740,714,1462,5401,382,-2.86790891649821,7.05556195502154,-5.44239395294908,8.78627225608699e-05,0.857100858581286,-3.77654061403995
"2","GB41965",17,7,8,2,6,2,29,4,33,25,75,38,-2.8260507442232,1.17304132439543,-5.04861656254185,0.000179763834430827,0.876798102436356,-4.32702451380795
"3","GB40006",663,50,462,21,25,10,212,64,753,371,426,690,-3.08364318765304,4.72449156707594,-3.31551790189012,0.00512446882993571,0.998937612752684,-4.10068191910536
"4","GB40106",211,114,183,86,166,103,101,109,247,202,246,170,-0.884130012611881,4.77628288908058,-2.8288394057999,0.0134361547087036,0.998937612752684,-4.12654588864246
"5","GB40299",372,169,352,214,667,1292,909,295,771,1473,1102,641,-1.47782264871262,6.6473149881566,-3.30160590605452,0.00526806351437167,0.998937612752684,-4.05317383061671
"6","GB41297",144,75,217,31,173,108,176,90,433,291,138,149,-1.40703489145905,4.65970575382339,-2.78151190708204,0.0147463396212542,0.998937612752684,-4.1608340536514
"7","GB41339",280,96,98,94,58,66,56,167,241,262,180,360,-1.51835982360051,4.60804206497405,-3.0788798120032,0.00819734880972736,0.998937612752684,-4.0933442161651
"8","GB41626",45,53,32,27,57,44,57,22,42,42,58,74,-0.66771098430546,2.99434671353591,-3.00695593817275,0.00945269511903725,0.998937612752684,-4.30959927143422
"9","GB41629",43,97,35,38,59,32,11,8,25,16,40,23,0.798023573770045,2.40988048559217,2.74942705914772,0.015704677098591,0.998937612752684,-4.39665145744551
"10","GB41727",72,197,52,106,122,74,17,14,29,41,79,52,0.950306192779192,3.332895346995,3.30711262843307,0.00521075007894344,0.998937612752684,-4.23501552953715
"11","GB41731",85,125,73,59,140,93,40,25,45,36,74,38,0.642710828623943,3.47277885249613,3.35541480986539,0.00473402178423935,0.998937612752684,-4.20315822622006
"12","GB41878",243,309,200,197,322,248,241,103,275,247,365,266,-0.454698979873132,5.44296389742049,-2.76240934383994,0.0153098091084399,0.998937612752684,-4.11221023600858
"13","GB41887",25,0,20,1,1,3,10,6,7,20,21,38,-2.5722600491852,0.364149831200425,-2.95395407207676,0.0104975972714521,0.998937612752684,-4.472031213239
"14","GB42048",66,9,37,5,2,1,17,6,33,58,49,93,-2.63348897808057,1.59608902054609,-3.07868097045367,0.00820058093220553,0.998937612752684,-4.4172434852581
"15","GB42244",541,231,249,253,178,173,275,338,372,400,575,804,-1.31676811024147,5.88596516219573,-3.72724609989361,0.00226552458853851,0.998937612752684,-3.87581086226271
"16","GB42410",2432,80,1004,354,70,540,1084,2467,1418,2820,976,2518,-2.70241972646196,7.17203300625848,-2.74475208349943,0.0158492875215513,0.998937612752684,-4.23791134423053
"17","GB42489",288,506,320,452,529,582,134,133,210,204,500,269,0.467447546825251,5.78473756243191,2.90500338037222,0.0115632884913551,0.998937612752684,-4.0933750806685
"18","GB42507",62,10,31,10,24,13,30,14,28,38,52,63,-1.39881625233029,2.2500759299799,-3.07194586584101,0.00831080735649662,0.998937612752684,-4.36856662854982
"19","GB42617",13,27,12,19,38,38,2,3,7,7,34,6,1.12883707492706,1.17194972971403,2.82460032612374,0.0135487051897911,0.998937612752684,-4.45712180008421
"20","GB42637",137,37,150,15,37,80,96,93,121,195,132,302,-1.95218922560316,4.02981470017654,-3.79773958166194,0.00197136187566797,0.998937612752684,-4.04999953188275
"21","GB42827",20,10,24,5,7,10,18,5,16,19,24,31,-1.21268278693382,1.3355149722009,-2.77700713337608,0.0148773651284718,0.998937612752684,-4.45078349255946
"22","GB42832",80,108,51,43,66,63,49,45,82,59,128,98,-0.679317932220634,3.63367804417657,-3.25998483567307,0.00572212461451725,0.998937612752684,-4.1869465342222
"23","GB42908",64,22,37,18,8,6,41,121,202,70,93,32,-2.5128639813049,2.80933235775674,-3.56457685231482,0.00312574762539648,0.998937612752684,-4.27194978743567
"24","GB43035",132,130,51,137,84,72,27,7,16,30,42,23,1.5400931621813,3.03233188579623,4.4224973654982,0.000584127595334698,0.998937612752684,-4.15355286930901
"25","GB43722",9,22,10,17,25,18,4,4,4,8,15,5,0.827321045482607,0.872201266622586,2.92441867575875,0.0111284354424823,0.998937612752684,-4.46054732526257
"26","GB43783",314,50,95,11,13,16,17,127,210,205,214,263,-2.43365346488424,3.70654085105888,-2.87438069816227,0.0122833162935074,0.998937612752684,-4.27119621129436
"27","GB43784",936,119,318,58,68,61,114,508,1124,884,602,809,-2.63643051075248,5.66326260516484,-3.42602670198743,0.00411460834840691,0.998937612752684,-3.99663844963937
"28","GB43791",30,4,38,7,12,8,14,20,23,42,48,52,-1.91513080151394,1.81763494346001,-3.57449850760508,0.00306488824125102,0.998937612752684,-4.35698398371145
"29","GB43882",186,186,117,110,128,178,124,117,153,223,206,302,-0.819233115867342,4.86514263968583,-3.69540056745897,0.00241264528154202,0.998937612752684,-3.89404321998614
"30","GB43892",4900,2093,2045,2572,3068,3391,2507,3158,4938,7469,4120,3490,-1.02579687958566,9.25603796895176,-2.90593899273714,0.0115419552400194,0.998937612752684,-4.33230127663721
"31","GB43937",26,23,26,22,17,26,12,20,35,26,61,40,-0.902625326953165,2.23610135609155,-2.95215727934766,0.0105349474759414,0.998937612752684,-4.38160967480569
"32","GB43958",43,51,42,43,38,37,60,31,27,64,62,63,-0.736465345860743,3.03607270459483,-2.86377031472677,0.01254292111242,0.998937612752684,-4.32638154633711
"33","GB44076",11,7,8,6,6,12,11,8,8,5,23,16,-0.951314315107873,0.802653576248001,-2.77492277367166,0.0149383745485103,0.998937612752684,-4.47276834523299
"34","GB44455",377,30,135,55,31,30,70,363,459,393,139,82,-2.25557230216238,4.34899077645868,-2.76226798293213,0.0153140561415263,0.998937612752684,-4.22188340937186
"35","GB44506",101,120,126,136,203,241,125,87,186,157,211,172,-0.56024267114265,4.74758257575955,-2.80089968530629,0.0141951746380084,0.998937612752684,-4.13491799474656
"36","GB44540",58,85,54,64,77,61,74,36,51,64,99,97,-0.558401574616813,3.57910276577475,-3.29733281371249,0.00531297140931113,0.998937612752684,-4.18864383228737
"37","GB44630",24,23,9,16,24,16,4,2,5,12,15,4,1.00959665139638,0.929356348034299,2.87171013517303,0.0123481563307103,0.998937612752684,-4.46253083796313
"38","GB44862",38,78,33,31,78,63,14,10,27,21,48,27,0.6405821395557,2.58663057906875,2.81246044799156,0.0138761559160148,0.998937612752684,-4.3752644991515
"39","GB44871",546,229,517,254,166,193,1651,220,355,468,712,1951,-1.70205452830626,6.28817864641967,-3.16114010612952,0.0069630740497709,0.998937612752684,-4.05761598828246
"40","GB45157",151,83,219,115,132,125,170,99,181,174,240,174,-0.944734644088244,4.74571033681874,-3.26127527902744,0.00570747613470032,0.998937612752684,-4.01666271466666
"41","GB45277",509,457,413,258,519,434,120,88,157,187,431,304,0.649355667037291,5.65556475745691,2.92311976371213,0.0111570188438908,0.998937612752684,-4.09130309042544
"42","GB45421",40,29,37,16,41,22,46,21,23,35,52,47,-0.825205124404204,2.55239572671159,-2.79777345921695,0.0142826671024617,0.998937612752684,-4.37675825672097
"43","GB45777",95,158,74,77,134,120,75,53,91,112,158,133,-0.417235027582919,4.19634082229371,-2.91650648560939,0.0113036718776897,0.998937612752684,-4.17136668141759
"44","GB45966",22,5,9,6,17,3,18,7,16,13,24,21,-1.45380958269559,1.09209831124192,-3.20830423273013,0.00634065770299636,0.998937612752684,-4.42977771172213
"45","GB46220",62,47,34,44,56,52,41,36,51,59,61,68,-0.606857633455773,3.17944506646741,-2.75924264108366,0.0154052251205422,0.998937612752684,-4.32822694489871
