"","ID","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40006",663,212,64,371,426,690,50,462,21,25,753,10,2.99304301595693,4.72449156707594,3.21179189185804,0.00627689957723342,0.734193588952883,-3.49320772397082
"2","GB40358",155,99,49,100,184,193,148,106,71,97,110,102,0.681348580172455,4.31811443186344,3.05195722358101,0.0086225254641408,0.734193588952883,-3.53069499525302
"3","GB40565",172,89,63,90,206,179,141,129,78,64,69,120,0.82651081229278,4.28267262663222,3.35947350060009,0.00467933557258763,0.734193588952883,-3.37177465912145
"4","GB40581",37,9,8,30,38,35,15,21,10,12,11,14,1.1952410551336,1.66849561162929,3.40022155160253,0.00431509699103427,0.734193588952883,-4.01242423140786
"5","GB40609",1,6,2,8,7,2,31,7,27,20,7,11,-1.53353718247065,0.474119691848725,-3.18108524732289,0.00667202157676954,0.734193588952883,-4.20669963066483
"6","GB40798",151,97,46,100,143,145,111,75,75,142,54,90,0.701512694056983,4.1169453696957,4.05609601442339,0.00118080730256221,0.734193588952883,-3.08183265181273
"7","GB40871",14,2,6,13,44,5,51,24,30,50,22,31,-1.32859188325615,1.68683193659484,-3.16130546363961,0.0069395487157117,0.734193588952883,-4.0808052141938
"8","GB40876",115,118,72,98,179,163,167,91,108,123,78,142,0.461786049664584,4.39656701437342,3.34131704291313,0.00485140506866884,0.734193588952883,-3.34651485060862
"9","GB41066",29,8,6,12,23,36,3,21,2,3,7,3,2.17770404939883,0.704021090685717,3.86830621391883,0.0017071209830332,0.734193588952883,-4.07472159887092
"10","GB41311",473,381,315,284,866,340,1942,516,2790,1703,527,1217,-1.12174045491845,6.98408736836729,-3.61444157581579,0.00281972808897832,0.734193588952883,-3.28515531914856
"11","GB41339",280,56,167,262,180,360,96,98,94,58,241,66,1.51694208531087,4.60804206497405,3.09990748304785,0.00783975110373915,0.734193588952883,-3.46789692984702
"12","GB41625",230,230,249,384,566,310,3812,414,1588,916,524,636,-1.19116056942882,6.61647158095197,-3.29378050621769,0.00533250162847064,0.734193588952883,-3.39513326568975
"13","GB41830",34,15,11,25,23,72,14,20,8,18,14,6,1.46520958302041,1.69803046621266,3.32245701890214,0.00503685274874283,0.734193588952883,-4.02881816701863
"14","GB41887",25,10,6,20,21,38,0,20,1,1,7,3,3.02777366847884,0.364149831200425,3.95876765622788,0.00142892112910304,0.734193588952883,-4.07468017165033
"15","GB41965",17,29,4,25,75,38,7,8,2,6,33,2,2.4479837859743,1.17304132439543,3.78485627678182,0.0020125123560496,0.734193588952883,-4.02912547652706
"16","GB42048",66,17,6,58,49,93,9,37,5,2,33,1,2.88366990352842,1.59608902054609,3.51889804936245,0.00340844298802684,0.734193588952883,-4.02194040767526
"17","GB42244",541,275,338,400,575,804,231,249,253,178,372,173,1.39070441843351,5.88596516219573,4.16403671683273,0.000956554820290467,0.734193588952883,-2.77925099666622
"18","GB42272",24,9,12,19,39,24,13,12,8,20,11,18,0.970226445629099,1.54995415714607,3.60404019057645,0.00287849471091229,0.734193588952883,-3.98604086510993
"19","GB42507",62,30,14,38,52,63,10,31,10,24,28,13,1.66327912688511,2.2500759299799,4.14763794061859,0.000987593323376657,0.734193588952883,-3.71971210958511
"20","GB42626",523,66,606,1240,1282,838,41,866,31,85,38,67,3.32596775313695,5.23582730965954,4.07105297081665,0.0011467771562844,0.734193588952883,-3.07870158911372
