"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40006",27,21,33,50,55,70,191,204,377,334,209,43,-2.51876884038808,3.28690905784995,-4.02262339440809,0.00139606713670066,0.996447216571508,-3.88459176754272
"2","GB40203",202,187,249,169,241,287,147,105,107,99,93,212,0.507759482425386,4.20603956042034,3.01540747777047,0.00975521137455394,0.996447216571508,-3.89943110666406
"3","GB40253",3089,3659,6549,4671,5403,2778,2384,2105,1484,2133,2511,3359,0.56008768289924,8.43497171857041,2.99596888987992,0.0101298842119314,0.996447216571508,-4.07467109444965
"4","GB40581",13,11,21,10,25,18,20,21,34,28,22,20,-0.889925858753743,1.14778835243818,-3.63760517588389,0.00291991980661844,0.996447216571508,-4.26437508730005
"5","GB40606",15,3,14,5,8,10,41,36,21,36,17,9,-1.7931784369064,0.694735124931797,-3.6819263403606,0.00268075041383285,0.996447216571508,-4.30930402856377
"6","GB40703",619,543,826,785,994,807,510,519,340,391,408,609,0.405473092837802,6.03927466589716,3.09402530496651,0.00837516182633745,0.996447216571508,-3.76844315470584
"7","GB40864",13,19,27,21,36,18,29,33,34,30,25,29,-0.772130600970054,1.53418067450008,-4.18217769785082,0.00103195196351066,0.996447216571508,-4.15631605395471
"8","GB41203",10219,10446,13361,18120,12492,13697,7644,7538,3934,4981,4636,12313,0.716159239014432,9.98854855692027,2.97208197944341,0.0106098746353099,0.996447216571508,-4.21157901888664
"9","GB41301",822,901,1275,1163,1625,1177,1952,1187,981,1547,1376,1007,-0.526419462056761,7.09766589747604,-3.04195622898599,0.00926560979847836,0.996447216571508,-3.91451522418073
"10","GB41471",1242,834,2418,1232,1394,1338,732,712,556,601,593,978,0.656565899550478,6.75304471208115,3.88775031725886,0.00180559096374934,0.996447216571508,-3.58888568276374
"11","GB41735",647,623,865,739,1342,713,628,536,336,414,369,552,0.463610463247115,6.09102695963928,3.00388300523098,0.00997565052157312,0.996447216571508,-3.81167570478332
"12","GB41772",4586,4267,4038,2967,3826,4763,2168,2258,1545,1572,1922,3836,0.641217382661548,8.36059959190759,2.92327694838474,0.0116616354070221,0.996447216571508,-4.08772226914161
"13","GB41773",1652,1582,2825,2540,2541,2718,1464,1034,606,823,934,2015,0.778823806468742,7.44495472921115,3.55194820517192,0.00344531273821845,0.996447216571508,-3.80291314164616
"14","GB42046",7,2,13,15,17,14,85,22,73,46,27,8,-2.0280052409711,1.05520328264994,-3.12175209215454,0.00793629404474172,0.996447216571508,-4.33983638923564
"15","GB42048",4,3,11,23,26,18,34,31,39,26,27,12,-1.50566566229074,0.979619966040833,-3.19152087793575,0.00693078644118418,0.996447216571508,-4.33389977152856
"16","GB42275",38,27,40,72,90,110,22,24,10,15,16,46,1.1437159924797,1.92601641270136,2.96670642677856,0.0107209589808552,0.996447216571508,-4.27817602025033
"17","GB42298",542,736,659,693,962,553,937,598,787,1001,660,685,-0.489004774346427,6.34411587493892,-3.11189143663411,0.00808968256835174,0.996447216571508,-3.78846451981758
"18","GB42660",144,144,206,158,145,115,96,59,72,69,91,129,0.507363952378798,3.66027994957626,2.98570102852121,0.0103335154115066,0.996447216571508,-4.01250228700528
"19","GB42726",293,355,457,270,420,348,367,356,358,453,335,367,-0.394968255117345,5.34923680849323,-3.1378430133445,0.00769219026685276,0.996447216571508,-3.70593622299347
"20","GB42837",10,23,16,13,24,19,29,21,26,25,22,24,-0.839136466202659,1.22350250456207,-4.13493333550759,0.00112826870395174,0.996447216571508,-4.20367566059014
"21","GB43015",431,381,512,434,562,602,366,231,259,254,240,375,0.45481201862215,5.37750244635832,3.78500846270669,0.0021985541265422,0.996447216571508,-3.46145829246129
"22","GB43085",10,12,16,10,13,14,16,19,16,27,21,20,-0.949844997654589,0.853752844762604,-4.43464341882198,0.00064308433525821,0.996447216571508,-4.22333538985956
"23","GB43123",1792,2229,2176,2316,2363,2156,1257,1164,976,1117,1004,2126,0.516682757358294,7.52189881764861,3.46235550930692,0.00409771685393672,0.996447216571508,-3.83910528242695
"24","GB43213",54,75,125,89,136,123,123,99,103,95,91,115,-0.413954309528676,3.49552856999421,-2.99988217146582,0.0100533273254371,0.996447216571508,-4.03123325273099
"25","GB43285",477,424,588,656,490,243,3220,670,1629,2891,1329,313,-1.80101287910411,6.42944137767673,-3.70995897552693,0.00253984781158549,0.996447216571508,-3.61051139933646
"26","GB43784",238,117,355,168,206,105,658,331,1251,1484,427,95,-1.80810648222154,5.09616681084142,-2.99392919677607,0.0101700162071265,0.996447216571508,-3.82571538618047
"27","GB43864",28,29,20,29,36,22,42,23,28,40,41,39,-0.698789416535475,1.80607160932087,-3.13402956682018,0.00774935577106501,0.996447216571508,-4.25685583463629
"28","GB44084",111,162,210,141,144,109,241,189,290,295,213,130,-0.919806752283998,4.31787475978009,-3.80752120983434,0.00210557131464578,0.996447216571508,-3.59408330389304
"29","GB44091",8807,8154,12183,9319,12799,14562,6924,6005,5372,4635,4513,8154,0.576803652460383,9.79692673143771,3.59195959094773,0.00318891713417518,0.996447216571508,-4.07789802556071
"30","GB44318",250,330,338,263,364,264,314,297,329,275,298,328,-0.353936462222611,5.09364156761188,-3.35949852935894,0.00500210161904121,0.996447216571508,-3.62096775659839
"31","GB44494",306,329,280,245,466,378,157,168,193,183,146,268,0.522796508536099,4.78502369584748,3.06435421730564,0.0088715889928501,0.996447216571508,-3.79099583667243
"32","GB44976",356,294,491,489,615,544,803,557,606,630,425,393,-0.61312360972332,5.81677877810754,-3.24177359933115,0.00628638532994239,0.996447216571508,-3.6813849849807
"33","GB45141",2571,2655,4934,3285,4203,3342,1571,1517,1651,2025,1649,3436,0.535560679529873,8.15927639312114,3.1763198429461,0.00713842696708738,0.996447216571508,-3.99821329596443
"34","GB45142",1802,1440,2321,1832,1563,1486,863,1002,1079,767,784,1470,0.522651341942363,7.18484061728838,3.09989514770362,0.00828027926573462,0.996447216571508,-3.90740156221368
"35","GB45152",4850,4917,6150,8177,7086,7297,3645,3206,2133,2705,2799,5357,0.68405496823463,8.9760987665529,3.67871245855492,0.00269740422461689,0.996447216571508,-3.97184251572717
