"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40015",43,61,81,46,62,62,112,143,85,107,73,77,-0.543834855986366,3.08711311025629,-3.8533102037804,0.00195656548906108,0.321718125854186,-1.31038496705514
"2","GB40017",95,98,157,137,105,112,207,279,190,225,142,150,-0.561693149891261,4.07995925038326,-3.8140802855468,0.00210866441345934,0.321718125854186,-1.23109533256874
"3","GB40054",4549,3160,2779,2583,1943,5817,2846,3125,2631,1531,1772,1651,0.773431874403568,8.22600532704238,3.5734598163945,0.00334512706665985,0.321718125854186,-1.68473500858514
"4","GB40140",1931,1793,2242,1424,1451,1959,3833,2915,3297,2429,2658,1927,-0.455869043312015,7.96893325553038,-3.60832115274737,0.00312813396913507,0.321718125854186,-1.61520034339025
"5","GB40350",121,118,223,145,127,169,350,271,275,223,183,190,-0.532186802873949,4.4136143802702,-4.09592720846755,0.00123492368622258,0.321718125854186,-0.764574567243071
"6","GB40546",50,60,47,33,39,67,42,46,36,21,35,33,0.672071014723178,2.21616706579824,3.62571485423392,0.0030252622804253,0.321718125854186,-1.80063553558611
"7","GB40780",474,520,550,427,380,537,599,582,451,389,369,348,0.290022896378433,5.70270186790808,3.80024776750765,0.00216512739534599,0.321718125854186,-1.21435517151592
"8","GB41174",50,106,164,110,115,89,244,248,188,188,145,159,-0.746849710291507,3.96734732410459,-3.96528016514296,0.00158119590169351,0.321718125854186,-1.01211021700442
"9","GB41263",7,13,17,11,18,11,32,31,26,27,21,26,-0.904763429953332,1.07755542175725,-4.20780482038998,0.00100063238564758,0.321718125854186,-1.50423772883813
"10","GB41824",9,27,42,26,31,25,95,85,80,45,39,43,-1.12058457162634,2.13474454526224,-4.13641031487412,0.00114424099179426,0.321718125854186,-1.2068782090584
"11","GB41962",7,10,10,14,10,10,38,20,20,21,21,14,-0.881520994807424,0.770537990921623,-3.71928798603293,0.00252794630047942,0.321718125854186,-2.09880864062864
"12","GB42568",5,9,13,6,9,4,20,21,13,16,18,19,-1.03921307467449,0.406533865612513,-3.71903211205965,0.00252918618428959,0.321718125854186,-2.21000992951237
"13","GB42688",496,608,576,406,354,724,580,398,556,346,354,285,0.520991583179357,5.6864146078707,3.58400980993226,0.00327789506851386,0.321718125854186,-1.57012458605971
"14","GB43110",44,64,72,59,61,63,112,141,130,119,77,66,-0.605933296392943,3.1609516138287,-4.06636672320095,0.0013057768206725,0.321718125854186,-0.997107347471668
"15","GB43165",155,212,177,147,155,228,190,170,147,127,139,143,0.426033866933669,4.20835823132179,3.81598935599504,0.00210099059490902,0.321718125854186,-1.21409931261384
"16","GB43421",16,29,43,54,28,22,96,62,71,53,62,54,-0.933214533666719,2.32303082576122,-3.62348680502026,0.00303824554297422,0.321718125854186,-1.79019155803434
"17","GB43574",23,38,32,31,33,30,65,92,65,63,52,34,-0.758966353308873,2.2872871113729,-4.35257415215942,0.000763620112684312,0.321718125854186,-0.886381717527611
"18","GB44010",27,20,42,26,36,30,79,76,55,64,52,30,-0.76722729326497,2.21979961125095,-3.77256664851096,0.00228279390136914,0.321718125854186,-1.619580172496
"19","GB44035",64,66,79,61,67,75,143,160,100,120,87,84,-0.532045649947521,3.3137007526659,-4.72628943064285,0.00038423612455474,0.321718125854186,-0.061263589382837
"20","GB44105",8,14,12,15,12,11,29,35,26,21,23,16,-0.836708195725469,0.976365532190389,-4.28961496412891,0.000858644606644683,0.321718125854186,-1.46199547479484
"21","GB44281",24,31,51,47,31,28,83,90,57,70,52,44,-0.724127954585255,2.41141666058937,-3.79279109721367,0.00219620204901981,0.321718125854186,-1.54501277633496
"22","GB44315",25,64,58,82,58,49,200,113,142,96,109,66,-0.936183231370173,3.14094383173341,-3.61258328044649,0.00310260264322974,0.321718125854186,-1.6499942394325
"23","GB44328",42,38,75,72,57,37,157,138,95,139,77,98,-0.969243334715118,3.11678251261587,-4.38136526665309,0.000723847777940325,0.321718125854186,-0.587528471017573
"24","GB44398",1066,991,1133,802,877,1154,978,981,905,880,762,709,0.38971276584257,6.70837997685866,3.97757278663628,0.00154474660140553,0.321718125854186,-0.965408536142759
"25","GB44590",38,131,108,142,121,102,270,351,285,140,246,152,-1.0198281795446,4.08941910138765,-3.68776966274676,0.00268542652485196,0.321718125854186,-1.43500289346269
"26","GB44933",78,94,105,73,78,81,191,174,150,136,91,89,-0.482997997120915,3.58292278382391,-4.08835246838273,0.00125269468642465,0.321718125854186,-0.878797750995012
"27","GB45441",25,18,73,42,19,36,90,128,61,69,55,53,-1.00389002990834,2.44074093234611,-3.69565197562482,0.00264513044360248,0.321718125854186,-1.6710769850314
"28","GB45505",465,548,519,461,403,637,489,535,478,396,386,354,0.390292525787332,5.71859985833248,4.4043336743567,0.000693655713118033,0.321718125854186,-0.247547464392765
"29","GB45515",178,189,176,126,120,220,173,165,151,95,105,105,0.544206001148487,4.0401725362506,4.32924965118404,0.000797491088325439,0.321718125854186,-0.441929375108314
"30","GB45517",183,261,404,230,238,287,648,650,537,565,292,293,-0.662878128731442,5.30279008796243,-4.25276117915378,0.000919846029414724,0.321718125854186,-0.486665131644027
"31","GB45636",313,341,415,298,255,417,359,336,306,311,258,249,0.346977210604389,5.1629282799657,3.87400683857429,0.0018808837052873,0.321718125854186,-1.09219032123377
"32","GB45692",37,64,64,60,52,76,162,135,94,92,86,58,-0.608165407048866,3.09889542791237,-3.70689858639228,0.00258869738797586,0.321718125854186,-1.51666775627563
