"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB42514",158,140,104,47,125,122,26,34,38,7,8,17,2.54644144191747,2.33957858702593,5.96963561268686,4.2630670869191e-05,0.420210522757615,-3.82417775219942
"2","GB40285",85,135,83,110,35,66,57,33,46,45,63,35,0.92552816397428,2.76612633473686,3.22576551893152,0.00646672503438153,0.893448232849185,-4.07124940624369
"3","GB41212",74,97,46,106,34,148,107,316,140,204,184,123,-1.10397320951313,3.66530054397464,-3.19995210474677,0.00679952760337171,0.893448232849185,-3.90600153552677
"4","GB41374",20,37,31,29,33,24,54,60,39,40,43,59,-0.697556264119147,2.08462048579701,-4.00875134827337,0.00142670710250908,0.893448232849185,-4.05049847081708
"5","GB41675",79,164,119,126,100,76,67,141,83,78,66,79,0.426958777514443,3.41291703936214,2.95398946580183,0.0109636960324501,0.893448232849185,-4.01949413918697
"6","GB41679",8,25,24,34,16,15,9,16,9,10,7,17,0.817187729564459,0.722530554181993,2.80359329977272,0.0146672016650175,0.893448232849185,-4.37892938054071
"7","GB41700",145,223,187,250,156,213,102,202,130,180,94,129,0.568390649312583,4.18337621138423,3.15569253541518,0.00741046763275559,0.893448232849185,-3.79074477643321
"8","GB41741",69,131,116,90,82,147,216,210,130,98,146,290,-0.688385664921254,3.90130897238667,-2.8638329536766,0.0130553864531256,0.893448232849185,-3.96093928148679
"9","GB41747",21,51,31,44,22,22,13,31,32,14,14,22,0.657944119463451,1.47764572575276,2.88330077979612,0.0125727512804666,0.893448232849185,-4.30646711517489
"10","GB42012",54,82,57,78,54,59,77,121,100,68,65,100,-0.407176530507413,3.06600236311875,-3.11961772840474,0.00794872458291188,0.893448232849185,-4.03889686082129
"11","GB42041",10,18,12,17,6,8,18,29,19,14,15,20,-0.662509631596662,0.744162837770826,-3.19047648986108,0.00692594414639768,0.893448232849185,-4.33117005067856
"12","GB42271",8,19,21,17,19,30,27,43,40,41,30,22,-0.816280412912167,1.47718741836898,-2.81654321744547,0.0143049859322516,0.893448232849185,-4.31819207843967
"13","GB42324",48,87,78,35,54,96,248,240,82,190,78,110,-1.12397480217308,3.41379454788007,-3.24822399454936,0.00619046328870694,0.893448232849185,-3.94477799281572
"14","GB42467",81,84,287,60,93,103,239,652,202,407,153,288,-1.45155573090113,4.27640471532097,-3.93795962258919,0.00163306770426363,0.893448232849185,-3.55014613693344
"15","GB42550",120,269,221,129,160,126,145,328,306,271,223,269,-0.53757485543513,4.50764896920398,-2.84746448384342,0.0134752624409992,0.893448232849185,-3.86134853288748
"16","GB42968",178,298,177,164,148,180,236,390,230,201,178,266,-0.327357401403833,4.58341501192347,-2.75806161744475,0.0160135802251295,0.893448232849185,-3.88554856851866
"17","GB43028",3,14,8,10,9,5,19,21,24,17,15,18,-1.21209526853503,0.474308198223418,-4.7752540653739,0.000341366752023862,0.893448232849185,-4.21771138114456
"18","GB43447",52,89,99,147,48,72,48,47,64,49,45,56,0.694413188940278,2.84810987294214,2.95387229418385,0.010966187078136,0.893448232849185,-4.12049959453412
"19","GB43504",71,186,83,85,99,132,56,113,71,71,71,54,0.611841834583613,3.27544770616262,2.78624803525901,0.0151664872655376,0.893448232849185,-4.09609783518248
