"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40038",11,19,49,33,25,11,1,20,1,11,6,10,1.87068850429,0.338675578438994,3.41430808058361,0.004427433110858,0.471400050158412,-3.57172933877688
"2","GB40145",177,331,424,714,290,455,574,1039,498,1022,497,554,-0.944190395289325,5.79244455703584,-3.41332441134135,0.00443593374238379,0.471400050158412,-2.26080941127088
"3","GB40336",2541,3429,3709,3319,2878,2242,2482,1538,1458,1338,1671,2468,0.65439590300322,8.01573483612732,3.71969754810673,0.00244509766414114,0.471400050158412,-2.30754189435518
"4","GB40598",74,95,105,137,94,91,131,189,94,110,98,145,-0.448968428430673,3.64007377802569,-3.44410613789459,0.00417755540935379,0.471400050158412,-2.52606629217639
"5","GB40626",604,763,1233,3107,686,1800,3145,4347,2756,5973,1990,1462,-1.46160520492176,7.6912114651126,-3.33958391234059,0.00512224770767339,0.471400050158412,-2.60856014354604
"6","GB40873",10,13,11,28,9,22,26,37,26,48,25,27,-1.17589944295831,1.26680904641569,-3.72452494600492,0.00242234689885446,0.471400050158412,-3.19764283799986
"7","GB40923",32,51,74,110,33,85,121,164,80,191,87,94,-1.08381861669692,3.21934349613237,-3.66351316160929,0.00272641041748542,0.471400050158412,-2.50155066974842
"8","GB41156",40,75,66,161,67,178,220,278,170,404,151,119,-1.37154382117434,3.90577249366964,-3.51033810157846,0.00367186601819057,0.471400050158412,-2.41334235775133
"9","GB41176",289,296,361,291,254,248,388,437,250,361,334,343,-0.360397878620456,5.1578755416503,-3.23248411081539,0.00631333559425786,0.471400050158412,-2.45521657149454
"10","GB41296",11,17,16,43,9,28,75,120,31,88,53,20,-1.68743142756434,1.84467601756002,-3.50191476795214,0.00373258509523955,0.471400050158412,-3.14283124207915
"11","GB41367",57,62,100,78,84,59,47,52,34,39,50,64,0.538450208626162,2.71986688326167,3.39328373602072,0.00461274237179727,0.471400050158412,-2.89311518049371
"12","GB41374",20,39,37,31,29,24,54,60,33,40,43,59,-0.760538943186842,2.08462048579701,-4.98366749281138,0.000227547241257182,0.471400050158412,-2.2156306514021
"13","GB41419",46,50,39,36,36,46,84,70,53,63,51,62,-0.687191950456467,2.54689498327917,-3.52746478499895,0.00355146757482382,0.471400050158412,-2.85305950130392
"14","GB41684",148,167,167,158,179,93,85,159,89,68,86,72,0.639847340264576,3.70708258971782,3.73396495527328,0.00237847729115954,0.471400050158412,-2.23814431458489
"15","GB41695",184,140,247,127,111,80,87,91,57,58,85,97,0.768119569935452,3.5556016966806,3.63113958847011,0.00290320166871769,0.471400050158412,-2.39424678216975
"16","GB41859",222,324,420,299,244,229,209,241,205,200,181,224,0.355816828967483,4.77913342711808,3.47619369837169,0.00392434022643805,0.471400050158412,-2.20514387803223
"17","GB41874",150,324,431,247,373,220,176,259,151,150,180,166,0.55280557376629,4.63873756648477,3.27349196430345,0.00582757987647753,0.471400050158412,-2.46289165075809
"18","GB42039",12953,12486,12760,20644,9082,12250,25093,26183,17359,30078,14980,18876,-0.807664638411865,10.8764770253454,-3.48253552795279,0.00387615647224616,0.471400050158412,-3.07709925610222
"19","GB42192",34,47,86,54,49,50,81,97,59,88,52,63,-0.547404189820884,2.7841738550758,-3.24344695644898,0.00617964084266477,0.471400050158412,-2.98765915693494
"20","GB42233",31,51,66,166,48,79,149,253,155,320,94,96,-1.40498960430192,3.51672041624271,-3.64980219397319,0.00279991301754487,0.471400050158412,-2.41614932433311
"21","GB42278",30,22,36,47,26,32,62,61,42,78,47,52,-0.910063767039586,2.2540736687057,-4.07401316336045,0.00123660195299666,0.471400050158412,-2.61628732347069
"22","GB42470",23,32,19,40,34,36,56,61,54,46,51,44,-0.890929519231845,2.16272850155381,-3.59658018636778,0.00310478221690132,0.471400050158412,-2.95031089246722
"23","GB42576",24,26,53,53,22,48,83,143,55,97,34,44,-1.04515798430041,2.47265492097809,-3.22547178060743,0.00640036596255481,0.471400050158412,-3.10701750396328
"24","GB42635",14,18,33,20,9,18,20,51,37,25,25,32,-0.856944020309414,1.40070497574325,-3.31794048142784,0.00534325325218676,0.471400050158412,-3.36289759537425
