"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB46047",221,86,191,179,196,304,90,179,70,109,117,83,1.13486844502563,3.99125275198906,6.26394251407376,2.90036649162451e-05,0.279827359111933,0.407750375771211
"2","GB40536",26,10,66,17,39,76,10,17,16,28,19,6,1.40598104121837,1.31833085256057,3.39297608897597,0.00480386208199731,0.557701031623054,-3.00828323716007
"3","GB40565",69,42,89,74,79,240,80,259,155,277,260,341,-1.00164193691215,3.93432231782249,-4.04209458496743,0.00139570753593598,0.557701031623054,-1.59210987682067
"4","GB40611",13,7,17,19,12,31,5,7,14,9,10,14,0.975081820245143,0.499116698949657,3.35235765229599,0.00519405035543561,0.557701031623054,-3.23715665864584
"5","GB40678",12,7,15,21,21,71,19,42,41,81,74,79,-1.08850074788928,1.83643566317466,-3.28970737854985,0.00585939826966805,0.557701031623054,-2.95171246065359
"6","GB40683",498,315,484,387,366,1221,166,471,257,256,608,333,0.876111990585077,5.50209357920829,3.34016130889441,0.00531733071606298,0.557701031623054,-2.22622064618253
"7","GB40690",93,32,38,66,138,160,99,151,151,369,135,257,-0.909602558666087,3.72031295893021,-3.28751668591764,0.00588415436574962,0.557701031623054,-2.46773427242366
"8","GB40764",245,137,130,177,208,403,236,337,353,553,364,516,-0.64598219099562,4.98807449919086,-3.72693331040642,0.00253455519833186,0.557701031623054,-1.75294601229281
"9","GB41208",153,76,128,143,226,255,190,287,228,339,225,333,-0.482966907808256,4.52189522598357,-3.77598950050437,0.00230859767116801,0.557701031623054,-1.72999233239248
"10","GB41655",722,346,614,587,584,901,253,645,327,352,770,275,0.880567679913148,5.8170249731867,3.72476895104533,0.0025450284547034,0.557701031623054,-1.76729951689801
"11","GB41694",38,15,39,28,72,111,47,105,65,151,100,112,-0.798228382501116,2.82834325563517,-3.47029023556995,0.00414094410374891,0.557701031623054,-2.50491895456765
"12","GB42177",146,67,120,108,122,177,91,82,91,83,71,135,0.705924605241641,3.57892037789842,3.24581927059381,0.00637590733400938,0.557701031623054,-2.52545707100851
"13","GB42201",9,4,6,9,20,17,14,22,15,30,19,24,-0.74331014592587,0.713100530853068,-3.37338335847491,0.00498824217993955,0.557701031623054,-3.17089186127502
"14","GB42246",66,35,82,81,109,210,93,203,131,196,194,185,-0.61048585266415,3.7494834052734,-3.68894515246628,0.00272492488525241,0.557701031623054,-2.00321631635595
"15","GB42292",16,9,11,8,20,27,21,41,20,52,28,32,-0.843987664678382,1.27832412363311,-3.73479082523389,0.00249690060662157,0.557701031623054,-2.78732266461393
"16","GB42409",37,8,22,145,38,34,43,204,85,510,147,293,-2.04151175227435,3.07265840001578,-3.82935845173144,0.00208600576770735,0.557701031623054,-2.14569617267067
"17","GB42477",23,7,8,8,15,16,17,26,27,45,23,46,-1.00008883432759,1.12036440394734,-3.62264818580639,0.00309272209391671,0.557701031623054,-2.90836291904279
"18","GB42626",826,213,225,1294,238,536,96,79,96,653,265,97,1.77157648159398,4.88570138156823,3.27273203005889,0.00605399941183452,0.557701031623054,-2.34884081954797
"19","GB42632",70,32,107,52,93,120,37,69,52,57,51,55,0.751136676026244,2.83681873783186,3.66854609231368,0.00283309373510155,0.557701031623054,-2.30570904639654
"20","GB42754",24,18,21,31,32,56,42,69,36,79,76,50,-0.69803564090573,2.21551377597321,-3.90296386351774,0.00181444508290638,0.557701031623054,-2.33656437661496
"21","GB42822",432,91,675,137,424,612,109,115,89,196,92,88,1.82385474872699,4.42171157474558,4.55261597294022,0.000541916493368157,0.557701031623054,-0.95725728650577
"22","GB42887",974,564,884,1185,1485,1431,601,1067,878,1114,1184,992,0.398549086455151,6.83476412542329,3.33660502007696,0.00535382924166081,0.557701031623054,-2.35685425728254
"23","GB43091",1627,375,1196,848,870,1299,194,388,673,672,542,857,1.18830391552042,6.30624946477356,3.93941334602543,0.00169363635375317,0.557701031623054,-1.58550720603024
"24","GB43096",12,2,14,5,16,30,10,34,21,60,33,60,-1.31567377366687,1.05487687120275,-3.3280943902878,0.00544220165344422,0.557701031623054,-3.12421401200841
"25","GB43222",315,97,150,155,313,228,238,379,302,809,358,636,-0.815638923037556,5.02401557414917,-3.4730704815314,0.00411890771221041,0.557701031623054,-2.0726378429963
"26","GB43516",93,41,175,486,273,268,84,97,23,81,112,57,1.66765972669428,3.6339835170849,3.67414314138948,0.00280298689133328,0.557701031623054,-2.07647067611324
"27","GB43631",415,266,300,405,554,880,447,898,726,1260,753,1311,-0.685633257118871,6.12117950569045,-4.22671764252333,0.000988121663875669,0.557701031623054,-1.24000831565249
"28","GB43930",17,8,34,26,33,41,8,16,16,17,14,18,0.998001226383451,1.11971330406907,4.10145280080144,0.00124857192299995,0.557701031623054,-2.60629062695979
"29","GB43977",8,1,15,5,6,15,7,25,12,43,23,23,-1.26542096941759,0.423771202158426,-3.25600011687842,0.00625216040456362,0.557701031623054,-3.29792118594609
"30","GB43983",44,16,16,28,27,64,28,79,45,152,67,113,-1.02292834340496,2.38073896492121,-3.56867832340167,0.00342913709342814,0.557701031623054,-2.55954819554629
"31","GB44002",90,105,71,81,99,88,99,303,161,175,213,193,-0.846648873190126,3.867518621234,-3.4820671315973,0.00404840909704913,0.557701031623054,-2.20786156895079
"32","GB44014",105,52,67,118,155,157,66,57,64,95,120,81,0.691407700290678,3.35843335008538,3.41260122340846,0.00462606452650176,0.557701031623054,-2.3986359815788
"33","GB44092",25,8,13,22,38,30,25,46,33,89,41,43,-0.7757760027174,1.77940804231573,-3.39579079883363,0.00477794433458501,0.557701031623054,-2.8765406008115
"34","GB44178",47,14,46,46,67,209,59,200,137,229,144,277,-1.22764311148457,3.38685267013086,-3.80696619760878,0.00217660315459147,0.557701031623054,-2.0213147169924
