"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40098",192,151,126,239,171,245,179,159,91,191,223,171,0.340492390038952,4.31483572291208,2.01247995602526,0.0652853302634965,0.999937189829916,-4.33008565432652
"2","GB40288",178,152,224,364,339,332,319,160,66,114,253,353,0.603853370427932,4.6165448836233,2.66210967807575,0.0195073500762186,0.999937189829916,-4.10710956682905
"3","GB40468",6,4,6,9,12,11,19,13,11,14,13,19,-0.697779857950389,0.334795357504547,-2.74728040673103,0.0165792175565537,0.999937189829916,-4.44382166577799
"4","GB40572",36,17,27,27,47,64,63,57,17,50,79,75,-0.458036827792996,2.26709488320583,-2.23911446356401,0.0432001565698318,0.999937189829916,-4.41268990642184
"5","GB40616",35,44,28,26,55,39,26,24,21,19,55,26,0.639507294550189,1.86919941889175,2.31439698834835,0.0375747044357656,0.999937189829916,-4.42213889461303
"6","GB40830",29,11,46,34,46,74,78,67,18,44,93,138,-0.678757208402551,2.42489559776405,-2.13261405021064,0.0525262078881892,0.999937189829916,-4.4224742262276
"7","GB40864",9,10,13,13,21,18,30,23,8,19,27,36,-0.526271741209045,1.01536544853807,-2.53177665190957,0.0249862556240924,0.999937189829916,-4.43706545809966
"8","GB41163",237,206,233,260,258,333,324,177,123,299,278,271,0.275949220952853,4.80282553415443,2.03112820384962,0.0631328443236223,0.999937189829916,-4.30551911973779
"9","GB41235",11,13,7,11,17,19,8,16,7,8,6,7,0.783502719203608,0.285533313060768,2.17391296713066,0.0487055929737996,0.999937189829916,-4.4967800714832
"10","GB41306",2510,1020,1411,2195,2703,3991,5721,3834,922,2773,5112,5197,-0.513135562820809,8.26017328191149,-2.00877748057225,0.0657206547369548,0.999937189829916,-4.40533574557669
"11","GB41466",213,196,144,224,170,152,164,121,108,165,174,201,0.426703492549016,4.25818786764537,2.01613250372964,0.0648584795233403,0.999937189829916,-4.3319653641209
"12","GB41630",1060,968,678,1458,1036,1132,1137,838,464,1040,983,828,0.421569308748039,6.75006136045569,2.1741301953128,0.0486862029971487,0.999937189829916,-4.30456758642609
"13","GB41660",7,12,15,7,7,24,46,16,15,16,24,32,-0.89085395885535,0.893493912356381,-2.46579031191156,0.0283009319244605,0.999937189829916,-4.45034341788496
"14","GB41684",130,77,87,148,167,158,119,117,52,85,159,167,0.351670175110383,3.73750836966569,2.33158337629793,0.0363916480986231,0.999937189829916,-4.27950101846891
"15","GB41719",229,246,297,604,366,270,237,265,105,273,242,367,0.602666689874268,4.96790449011133,2.49529757912585,0.0267694303993005,0.999937189829916,-4.14691016296701
"16","GB41724",173,98,125,194,345,303,383,263,93,273,398,463,-0.410422263871807,4.72043956848922,-2.23090776229233,0.0438593756222884,0.999937189829916,-4.24601869452755
"17","GB42155",124,109,116,137,187,191,145,123,63,134,162,173,0.317869304979098,3.94832995801486,2.93295510978128,0.01160996343629,0.999937189829916,-4.09338086698554
"18","GB42315",24,25,30,22,43,39,69,27,16,47,67,62,-0.396305177086216,2.04857267162286,-2.03717915201423,0.0624486034518325,0.999937189829916,-4.45519338005003
"19","GB42414",103,69,87,92,144,178,210,113,55,150,212,264,-0.341996735726692,3.86414181212718,-2.29332367449834,0.0390751993709404,0.999937189829916,-4.28170038968584
"20","GB42497",8,9,11,7,22,9,25,13,5,21,34,25,-0.660153832030407,0.680737861014623,-2.38486464998103,0.0329452071748976,0.999937189829916,-4.46637502131101
"21","GB42652",149,73,147,107,241,281,348,214,63,218,499,503,-0.602347375219902,4.49073266492065,-2.33559689851934,0.036120516649423,0.999937189829916,-4.22628309768266
"22","GB42653",476,305,268,345,398,436,612,480,192,538,762,658,-0.291342668044582,5.61636130766044,-2.16101577636974,0.0498698624779987,0.999937189829916,-4.26258572022753
"23","GB42728",345,264,202,267,456,400,269,161,72,197,688,417,0.506685729702116,4.96686127131639,2.06703257856769,0.0591720025064403,0.999937189829916,-4.29126420996002
"24","GB42729",35,33,15,29,26,24,15,6,6,11,73,15,0.977681615614943,1.1664236771798,2.31538398411608,0.0375057852449417,0.999937189829916,-4.4546634289272
"25","GB42768",63,41,40,59,53,38,28,17,20,33,72,59,0.650142184505181,2.21970485756124,2.35622982546456,0.0347567523922641,0.999937189829916,-4.39605858623193
"26","GB42787",585,478,631,778,847,1175,773,524,282,844,635,797,0.391654475859075,6.24530824559473,2.58727201581772,0.0224917780698942,0.999937189829916,-4.15195328197389
"27","GB42823",74,47,50,66,47,90,46,48,33,60,42,46,0.634769038574444,2.60117209754602,2.52529119458941,0.0252946681162791,0.999937189829916,-4.34030332668161
"28","GB43325",45,108,45,156,89,77,98,21,34,48,29,48,1.11374861067851,2.7196400922337,2.75740265291863,0.016261200568562,0.999937189829916,-4.28978922172122
"29","GB43463",14,6,10,9,19,15,25,15,10,16,30,22,-0.491493915063174,0.791121633912251,-2.31226539004264,0.0377239586615429,0.999937189829916,-4.46965356720983
"30","GB43827",236,192,148,278,280,315,250,243,100,205,258,280,0.311702391600955,4.68243808862787,2.20159728112901,0.0462919783894918,0.999937189829916,-4.25245335375815
"31","GB43847",46,48,48,38,34,58,42,18,18,31,41,54,0.631999217258709,2.12522777994807,2.65431426143098,0.0197992838271078,0.999937189829916,-4.35568402430932
"32","GB44034",8,7,15,11,17,22,40,21,6,15,40,44,-0.75074766121193,0.991571153030153,-2.5431302708996,0.0244550666614694,0.999937189829916,-4.43731804962344
"33","GB44146",733,590,582,620,1384,1296,1494,912,600,1102,1837,1869,-0.432515790954556,6.83002935589451,-2.74479826152734,0.0166581261656311,0.999937189829916,-4.14873974616462
