"","ID","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40080",33,32,36,49,113,50,34,23,38,22,37,32,0.8084091500461,2.53344956513992,2.38913602776769,0.0319670597356387,0.999460310890173,-4.3741388957944
"2","GB40263",233,155,114,256,220,311,100,388,578,367,304,639,-0.612244478608908,5.32629531062645,-2.41074035335262,0.0306820619906175,0.999460310890173,-4.12179866238033
"3","GB40678",20,9,18,18,25,21,14,45,29,79,23,56,-0.866717842459122,1.94960024835368,-3.07006298492307,0.00854335697655628,0.999460310890173,-4.31927372719881
"4","GB40734",52,48,49,41,58,49,43,104,115,60,74,98,-0.547140639575328,3.24303901480561,-2.60575223736972,0.0211180894968974,0.999460310890173,-4.26872263795233
"5","GB40764",133,102,122,199,210,147,106,282,490,259,145,448,-0.65068435318537,4.86697665865436,-2.50813183952659,0.0254776352797772,0.999460310890173,-4.11000275977354
"6","GB41010",7,9,4,10,23,12,9,27,30,22,19,15,-0.835616703728158,1.07858657875177,-2.40587557356967,0.0309670429466106,0.999460310890173,-4.45580282941623
"7","GB41266",364,186,267,207,210,219,130,117,168,308,203,225,0.519935769575748,4.97508359799002,2.41154796545446,0.0306349945407961,0.999460310890173,-4.12966863314698
"8","GB41284",492,498,1081,455,525,602,317,583,265,391,542,244,0.811371983181,6.13381537712645,2.42070292327009,0.0301062409969043,0.999460310890173,-4.12907662345413
"9","GB41291",11,2,17,10,24,18,14,30,23,44,18,28,-0.93861645955228,1.36572457297718,-2.57597916756074,0.0223650287697348,0.999460310890173,-4.4231075123271
"10","GB41342",92,27,25,35,37,40,10,25,31,50,30,27,0.680142696073312,2.28766422759774,2.54994265588451,0.0235135122771263,0.999460310890173,-4.36475098278744
"11","GB41810",309,146,159,245,203,199,125,183,260,157,146,212,0.369550019332555,4.84269455460812,2.3801895429732,0.0325140600875135,0.999460310890173,-4.14913872270723
"12","GB41830",18,25,72,14,38,22,14,23,6,12,14,8,1.2979016395964,1.47639793342102,2.59653345937842,0.021496818549765,0.999460310890173,-4.41461174535278
"13","GB41945",205,113,34,205,94,100,98,129,236,226,343,676,-0.977173215936812,4.58537079502845,-2.3670857466306,0.0333313471335513,0.999460310890173,-4.19331586916985
"14","GB42170",217,114,145,136,140,149,117,101,100,124,117,116,0.574319185121342,4.28915021795687,3.15274298091261,0.00726314910498469,0.999460310890173,-3.96251648486434
"15","GB42551",103,31,59,119,84,111,52,136,105,219,166,202,-0.641424871566606,3.94596861752899,-2.77774265822049,0.0151321570692987,0.999460310890173,-4.13603167967147
"16","GB42607",384,228,206,359,267,309,260,357,375,422,747,1349,-0.657618357612439,5.83354488239563,-2.50565788668973,0.0255986688835336,0.999460310890173,-4.08636690730039
"17","GB42685",722,318,436,722,423,664,309,692,887,1220,972,1369,-0.492007216550296,6.63486745243719,-2.50188628805466,0.025784251329061,0.999460310890173,-4.13256333287606
"18","GB42689",79,38,37,61,53,68,40,106,85,66,95,110,-0.414738843442215,3.31996540852388,-2.38475028597163,0.0322341059456664,0.999460310890173,-4.31029536843605
"19","GB42693",526,245,436,313,350,377,166,261,303,505,347,282,0.442549621573153,5.63431923138092,2.43812851357606,0.0291237976754632,0.999460310890173,-4.10264003972052
"20","GB42784",14,4,10,21,17,36,9,32,29,48,25,47,-0.843127940929886,1.62473209153208,-2.51351724178304,0.025216063499189,0.999460310890173,-4.41553695764788
"21","GB43137",60,31,34,66,87,64,33,94,84,125,83,108,-0.482558443883475,3.33370464419379,-2.56941984048761,0.0226491543486072,0.999460310890173,-4.26668153440924
"22","GB43233",8,5,8,9,9,6,5,17,13,14,10,17,-0.544431965469306,0.574157733245751,-2.39641374577065,0.0315285662135356,0.999460310890173,-4.47634220602251
"23","GB43314",75,18,46,77,61,49,28,123,63,171,87,126,-0.681047749331886,3.31644008434683,-2.41764946994324,0.030281620365848,0.999460310890173,-4.30396453999342
"24","GB43367",22,7,5,6,5,6,4,13,31,17,18,27,-0.96255767225155,0.756394339073749,-2.52798237013744,0.0245262071682963,0.999460310890173,-4.45762777616161
"25","GB43833",656,253,341,388,442,443,286,587,611,675,445,833,-0.289141975478364,6.14996365355182,-2.40250899533578,0.0311657347691177,0.999460310890173,-4.13385577114779
"26","GB44000",411,144,201,279,237,224,124,209,195,249,199,269,0.375971380706385,5.05321190748546,2.9869353865127,0.0100559994199512,0.999460310890173,-3.90700367599811
"27","GB44086",145,83,98,108,94,101,69,91,76,110,88,107,0.362522302962993,3.86762899346994,2.42871540495217,0.0296506332375463,0.999460310890173,-4.23808687427705
"28","GB44326",49,36,34,52,59,35,20,43,41,39,36,38,0.420925420340643,2.579874999664,2.37949083229233,0.0325571532661005,0.999460310890173,-4.3716268796074
"29","GB44333",1025,389,523,908,757,773,528,836,1024,1227,914,1522,-0.33671231988014,6.94905460898986,-2.41873885993569,0.030218938101517,0.999460310890173,-4.18487731812823
"30","GB44366",32,17,13,21,54,18,20,12,12,8,20,15,0.93364223193847,1.47424779148779,2.49351430003475,0.0262008268976543,0.999460310890173,-4.42558787343669
"31","GB44420",387,184,294,291,288,291,216,637,437,320,431,663,-0.433308383977569,5.70915300580377,-2.65442867660657,0.0192230578433803,0.999460310890173,-4.02205065359396
"32","GB44512",595,297,324,356,387,354,226,277,343,404,328,387,0.363062445205685,5.71999695259208,2.671264359707,0.0186068607906065,0.999460310890173,-4.01218247404956
"33","GB44513",227,70,71,149,143,153,55,368,222,374,303,256,-0.733838206942329,4.66924949019278,-2.61099759675497,0.0209054881862712,0.999460310890173,-4.09424925420666
"34","GB44824",221,143,187,462,188,202,137,365,584,436,349,1507,-0.847704224978933,5.54178212849437,-2.49781767595078,0.0259858975250811,0.999460310890173,-4.0905962705394
"35","GB45185",243,113,192,172,178,230,141,250,264,335,274,305,-0.331476300154797,5.02868856953587,-2.79240662181591,0.0147062827126996,0.999460310890173,-3.98531415960885
"36","GB45551",136,62,93,99,186,140,39,92,76,146,118,65,0.602971949864904,3.87208741524326,2.59268386230831,0.0216569060189341,0.999460310890173,-4.19305958680453
"37","GB45558",8,3,5,7,8,9,5,13,13,23,8,14,-0.684198009544744,0.450152235287767,-2.63697987147773,0.019882587384074,0.999460310890173,-4.45964710568019
