"","ID","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40138",82,34,49,27,18,26,3,1,27,13,26,28,1.40232410561702,1.55403075935008,2.74501298180852,0.0161491853365869,0.952454526214419,-4.39231815080484
"2","GB40381",53,43,81,41,29,24,22,13,22,23,13,36,0.873959818064723,2.16495689575288,2.80689092609779,0.0143183284995528,0.952454526214419,-4.33213581096776
"3","GB40396",101,101,110,65,75,79,41,37,65,68,55,93,0.431609443943104,3.42633048355608,3.15445885783099,0.00725317166242245,0.952454526214419,-4.11099000486729
"4","GB40412",31,76,56,46,53,76,34,24,15,31,33,21,0.984516047723931,2.50633183574461,2.74212524175388,0.0162399971275944,0.952454526214419,-4.31224915470744
"5","GB40635",376,216,243,244,448,388,411,315,400,407,546,685,-0.729695969137407,5.81172000569403,-3.25479595378543,0.00595630650399381,0.952454526214419,-3.78057461140043
"6","GB40823",100,91,114,40,65,113,29,42,49,52,42,49,0.798192626807592,3.18468480574344,3.70616789303156,0.00246025072372614,0.952454526214419,-4.04674328611327
"7","GB40830",35,34,36,26,45,25,17,24,90,48,53,80,-0.675081180900139,2.55070243391069,-2.91295876787285,0.0116419740027214,0.952454526214419,-4.27474293037809
"8","GB40972",445,377,223,145,360,266,189,262,482,423,379,834,-0.606185883026988,5.64600670241683,-2.91240039550525,0.0116546843619321,0.952454526214419,-3.90261151533091
"9","GB41212",40,44,57,44,34,204,168,74,106,148,184,123,-1.31293547999037,3.69149932216526,-3.25166625104567,0.00599302188602319,0.952454526214419,-4.05366426944635
"10","GB41315",14,10,10,11,12,16,5,4,6,6,9,10,0.687527170320687,0.488413856553763,2.80665735115187,0.0143248419562726,0.952454526214419,-4.44118611462015
"11","GB41768",41,35,41,18,20,35,9,14,22,24,13,30,0.613228328721758,1.82089432840653,2.68959595358565,0.0179815223722923,0.952454526214419,-4.37502367526727
"12","GB41818",133,110,122,80,95,103,69,83,146,142,129,163,-0.317119117467213,4.07877514298113,-3.04374750148178,0.00901247525906594,0.952454526214419,-4.01825486765469
"13","GB41896",78,44,76,70,72,67,22,27,44,21,42,56,0.816315337216711,2.84707134468972,3.48303389814258,0.00380602873250198,0.952454526214419,-4.14395530145894
"14","GB41923",6,7,9,7,4,9,3,7,25,13,13,16,-0.873369990368144,0.45474150843303,-2.77156768025155,0.0153370273959441,0.952454526214419,-4.44627164261418
"15","GB42086",131,124,132,161,109,97,36,60,112,68,90,102,0.551523732461421,3.85851345299685,2.93542561921562,0.0111417336317281,0.952454526214419,-4.09213736476569
"16","GB42769",488,384,487,184,480,376,335,309,776,526,601,1264,-0.730825709513812,6.13488453749382,-3.71062156658015,0.00243897738054772,0.952454526214419,-3.65029927070433
"17","GB42888",13,7,6,4,22,11,9,9,44,18,33,30,-1.3323919280874,1.08845695011925,-3.66149539731966,0.00268433261625701,0.952454526214419,-4.32874072788823
"18","GB43390",229,217,242,162,146,202,104,98,150,139,148,141,0.470105736667455,4.59267335127325,3.32975181120223,0.00514119054868357,0.952454526214419,-3.83776771093812
"19","GB43628",108,132,110,88,67,90,45,38,69,65,82,90,0.466822549106105,3.56439499268107,2.85095901543479,0.0131400104899791,0.952454526214419,-4.16011043751167
"20","GB43670",19,5,20,9,18,3,16,10,38,16,16,47,-1.20974308632188,1.17211006277612,-2.75225559131913,0.0159235998827439,0.952454526214419,-4.41134730380646
"21","GB43879",1477,1386,1250,674,2105,1037,1337,1246,2911,1946,1831,2086,-0.739480489912693,7.83466011001096,-3.59431922146178,0.00306087871003556,0.952454526214419,-3.9328799768878
"22","GB44090",166,149,69,111,171,171,123,94,323,226,175,243,-0.650263727836633,4.56317597555633,-2.86747376099941,0.0127234048348538,0.952454526214419,-3.99686683099427
"23","GB44127",250,265,197,186,367,327,210,161,501,337,356,506,-0.483328828815887,5.44058977576742,-2.70965445856784,0.0172960388860305,0.952454526214419,-3.98101483007077
"24","GB44155",61,69,74,52,107,68,44,39,189,99,111,225,-0.737741478990195,3.64810234083006,-2.8408409958646,0.0134018382715179,0.952454526214419,-4.15028992049842
"25","GB44253",15,28,11,26,38,38,29,19,95,57,44,75,-1.21086973590973,2.35110844285359,-3.54683111231587,0.0033589251190578,0.952454526214419,-4.20462163414599
"26","GB44415",342,447,385,313,294,300,112,151,351,231,237,375,0.428570021040698,5.39097267959994,3.14979149102834,0.00731992160379835,0.952454526214419,-3.81974274435676
"27","GB44435",429,357,423,277,203,297,141,172,244,215,226,300,0.436498541822963,5.30062481877644,2.85257784384624,0.0130985881683931,0.952454526214419,-3.93437261772779
"28","GB44519",73,78,61,54,50,64,32,23,45,58,49,45,0.465523162262041,2.94189626058095,2.70963552909845,0.017296673630017,0.952454526214419,-4.27194484562278
"29","GB44663",115,117,131,65,109,188,55,39,109,83,78,52,0.668131002268817,3.72795226375221,2.79258397951257,0.0147226924037233,0.952454526214419,-4.15178781727094
"30","GB44831",102,97,102,78,137,119,104,79,172,117,120,212,-0.464920629052607,4.13104525092345,-2.92637248050047,0.0113407067497417,0.952454526214419,-4.04489281002462
"31","GB44887",57,38,59,22,21,32,11,16,16,13,13,33,0.985029423948707,1.87265429906265,3.42425446162965,0.00427094415625023,0.952454526214419,-4.27750194379049
"32","GB45041",317,315,277,173,171,225,98,107,205,181,190,237,0.381510056485909,4.89707052012555,2.98761411077716,0.0100601154433723,0.952454526214419,-3.91010711206683
"33","GB45052",605,908,600,922,1446,1110,880,908,2097,1772,1094,1440,-0.711258567712997,7.34367582884203,-2.74871108532715,0.0160336134286215,0.952454526214419,-4.10363745000755
"34","GB45474",515,579,661,369,464,584,283,249,389,358,398,508,0.368327486080927,6.02534351539921,2.92425493732664,0.0113877500706926,0.952454526214419,-3.91758626553992
"35","GB45734",68,63,51,36,63,154,35,15,28,39,56,24,0.966046269914314,2.7695624791185,2.71982404982777,0.0169582927812017,0.952454526214419,-4.29072483564438
"36","GB45816",23,22,17,10,17,21,5,4,12,13,17,12,0.693998068860692,1.02174057152511,2.88727503274285,0.0122409819158477,0.952454526214419,-4.40564106058683
"37","GB45929",363,355,279,164,269,312,113,133,275,189,211,292,0.376020797117665,5.13684085049305,3.03743639952682,0.0091246488677276,0.952454526214419,-3.87094487909027
"38","GB46429",823,892,812,843,794,969,291,239,585,633,421,1050,0.69108099786823,6.59275570779737,3.79381957610847,0.00207417342647332,0.952454526214419,-3.69884149372905
"39","GB46597",132,137,115,88,161,207,157,127,187,189,143,355,-0.587213603504396,4.57415674713093,-2.80210106097646,0.0144524804663998,0.952454526214419,-4.01729174990324
