"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40009",1608,772,2023,429,665,547,801,719,634,710,263,402,1.43838835833947,6.52161208419549,3.91555537640963,0.00161467818751933,0.3702018784343,-2.19727500349665
"2","GB40136",6878,2702,1064,1375,871,602,15622,3748,11898,10017,5434,16820,-1.84072178444288,8.99217253041591,-3.35682550959294,0.00482731557342927,0.3702018784343,-3.13045520441462
"3","GB40267",538,513,536,231,308,469,553,547,528,439,244,475,0.647563721099171,5.85010591103054,3.28102024093561,0.00560493704534251,0.3702018784343,-2.67540364959457
"4","GB40629",106,226,6,39,76,29,268,564,406,491,140,217,-1.79800870254961,4.05130038532091,-3.72439308058835,0.0023445582566247,0.3702018784343,-2.60343166327865
"5","GB40696",5491,21325,12075,9365,2407,4757,7225,6588,1300,1136,2572,4290,2.03543858968999,9.29978879656521,3.30939724307267,0.00530013791588777,0.3702018784343,-3.18996958768443
"6","GB40710",3,22,2,0,5,4,19,29,43,19,6,33,-1.82569368092089,0.259135326830276,-3.60807783361265,0.00294489759226589,0.3702018784343,-3.64203104460128
"7","GB41466",224,170,163,80,142,129,165,174,201,152,100,131,0.670931556032729,4.30759531130484,3.56494822570662,0.00320517556752945,0.3702018784343,-2.47597081960753
"8","GB41590",12,41,9,11,44,18,59,108,72,86,64,56,-1.17880202447232,2.3145079762946,-3.55243560459087,0.00328495040148578,0.3702018784343,-3.17716348088325
"9","GB41684",148,167,73,59,86,122,85,159,167,158,73,84,0.57635898987832,3.85803976693821,3.47985724976022,0.00378884207173119,0.3702018784343,-2.67295674628235
"10","GB41858",159,335,84,71,125,162,276,495,524,377,190,273,-0.517474174300201,4.84236966887201,-3.23570536904061,0.0061284332299128,0.3702018784343,-2.75064789460352
"11","GB41891",50,68,7,10,26,13,60,125,216,135,64,70,-1.41043924385135,2.63466904108578,-3.75964503679092,0.0021883450972823,0.3702018784343,-2.96844079200647
"12","GB42011",102,79,73,32,46,70,85,70,70,57,22,65,0.83738267171822,3.0130871701443,3.5042022932939,0.00361167771239349,0.3702018784343,-2.93904478152478
"13","GB42189",375,332,347,227,195,382,363,302,297,240,197,368,0.813600928574494,5.30095792023072,3.32112579859469,0.00517906051324811,0.3702018784343,-2.60669541800571
"14","GB42219",11,8,16,6,10,5,51,28,55,40,27,27,-1.32199270231459,1.30168290091084,-3.52118254405914,0.00349307432332332,0.3702018784343,-3.47811173913598
"15","GB42264",1917,877,1378,790,617,381,817,616,608,589,457,520,1.34742561458739,6.58639108327376,3.62019842083345,0.00287567457042285,0.3702018784343,-2.46456597914257
"16","GB42352",96,178,40,31,67,66,163,274,315,225,131,134,-0.723073975220881,3.95002890765825,-3.67464930100694,0.0025844461803158,0.3702018784343,-2.54159453713228
"17","GB42607",965,1206,587,305,188,695,351,964,316,343,192,458,1.25068623346007,5.94437465165574,3.77966774100246,0.00210436691254527,0.3702018784343,-2.21360356974141
"18","GB42652",107,241,38,48,91,133,218,499,503,281,123,299,-0.855100720828465,4.44390229334229,-3.50523898591265,0.00360432161572822,0.3702018784343,-2.58136699551123
"19","GB43526",15,63,10,10,23,24,42,130,121,107,43,59,-1.16770840254473,2.37842411505367,-3.6448854650934,0.00273972998961661,0.3702018784343,-3.10467306378632
"20","GB43558",726,1411,242,289,401,561,1252,1439,2414,1725,710,1578,-0.771560794697292,6.82624886799577,-3.52427762763598,0.00347188286491088,0.3702018784343,-2.61058193359368
"21","GB43561",351,422,198,139,245,332,379,412,380,320,188,374,0.415644584230266,5.30914067978258,3.25966439345309,0.00584583330356304,0.3702018784343,-2.67162059069027
"22","GB43716",1655,3778,261,651,664,1531,2946,3638,10313,5080,2358,4325,-1.35239832602602,8.11560207772787,-3.25810977593402,0.0058637685239654,0.3702018784343,-3.04690576930489
"23","GB43825",8884,10672,5620,4670,3952,4897,23569,13270,31796,27495,9260,31012,-1.0064743690859,10.5473844805103,-3.33835914494507,0.00500616491512576,0.3702018784343,-3.37458398069893
"24","GB44105",8,12,3,1,5,2,14,29,35,26,12,26,-1.57907260893606,0.424272977274903,-4.84921119080323,0.000273948479210565,0.3702018784343,-3.24471869542499
