"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40090",8,4,8,11,14,16,14,34,47,23,26,20,-1.22822342629369,1.07355351246895,-3.33259577019638,0.00513088969219738,0.795692157485014,-4.36417772116477
"2","GB40095",83,58,104,112,149,218,154,323,284,185,229,456,-1.05787582121942,4.47329992044351,-3.68259160393506,0.00258778199591353,0.795692157485014,-3.86646152971819
"3","GB40225",16,17,13,42,66,82,45,91,82,92,69,66,-1.00213204524465,2.64920115915558,-2.73654054642272,0.0164526451115807,0.795692157485014,-4.3183648490343
"4","GB40591",19,10,17,10,21,13,14,6,10,10,6,6,0.882880921949396,0.588319946448705,2.96167279313409,0.0106123170852509,0.795692157485014,-4.42293518680043
"5","GB40805",293,289,203,373,665,348,361,239,232,224,286,304,0.443908616359558,5.319442445339,3.10169762378535,0.00806846660778215,0.795692157485014,-3.93652840614476
"6","GB41684",107,98,67,162,174,179,148,89,68,93,86,72,0.609676442012266,3.80160918472132,3.08264774768886,0.00837527323182047,0.795692157485014,-4.10431157063026
"7","GB41779",1499,887,748,1717,1684,983,1235,698,697,750,1004,925,0.58731658824587,7.06468702358645,3.04721803285886,0.00897701576583617,0.795692157485014,-4.08667211494556
"8","GB42178",709,298,477,803,696,1475,1135,1160,1675,1132,1202,1420,-0.83324683614538,6.91978960858658,-3.19206344219468,0.00675873636071883,0.795692157485014,-4.03810664291187
"9","GB42470",41,30,17,25,33,34,73,54,46,36,51,44,-0.644718752055101,2.33971706640491,-2.91443824367512,0.0116380287832306,0.795692157485014,-4.31457760581052
"10","GB42488",230,243,220,268,376,213,327,150,166,171,196,237,0.455488648067896,4.89670228969153,2.7842624784312,0.0149969659213564,0.795692157485014,-4.05146107394308
"11","GB43298",17,19,11,6,16,31,26,33,62,18,27,83,-1.13981956033488,1.64417535651835,-2.72546699058855,0.0168096608126657,0.795692157485014,-4.39214636193303
"12","GB43437",301,282,253,373,495,381,396,284,309,181,265,325,0.373336468844675,5.36106709635436,2.70314573564103,0.0175524151029923,0.795692157485014,-4.06775372575781
"13","GB43814",22,42,29,44,35,22,45,56,61,57,50,60,-0.698345767041528,2.4608088026333,-2.70052896679985,0.0176415564434068,0.795692157485014,-4.33773836635389
"14","GB43969",6,9,5,8,12,6,38,14,12,14,10,23,-1.0253244005078,0.612375051551257,-3.3946442767563,0.0045433573117291,0.795692157485014,-4.38571074246924
"15","GB43984",70,62,37,83,114,107,66,45,57,51,73,57,0.516153350947771,3.11507644428094,2.88208001831481,0.0123964831702431,0.795692157485014,-4.24198315558974
"16","GB44214",251,251,136,361,348,401,385,517,333,616,395,761,-0.674025573789963,5.58540645448023,-3.11323448471158,0.00788811914003433,0.795692157485014,-3.94920492318446
"17","GB44384",88,57,99,106,113,59,76,53,42,36,40,68,0.813462946623774,3.11476504386651,3.36343519678893,0.00482990627788477,0.795692157485014,-4.15439408925173
"18","GB44448",24,11,8,13,29,35,11,8,14,12,14,8,0.833394821200735,0.917229179590492,2.70072295080327,0.0176349331930385,0.795692157485014,-4.43147730464829
