"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40101",48,50,51,61,48,71,23,32,32,32,31,34,0.666577414291669,2.44082101929281,3.80129552330168,0.00205941660661692,0.792272307712652,-4.18343831615263
"2","GB40264",6,3,6,10,9,12,6,11,19,16,24,18,-1.12586335809133,0.483810727545467,-3.60539084538504,0.00301496332161255,0.792272307712652,-4.37661840367681
"3","GB40337",89,72,206,165,80,146,31,84,114,79,76,66,0.596315879294508,3.58570269862048,2.60122339655715,0.0213903181673428,0.792272307712652,-4.25124483915282
"4","GB40426",113,69,186,206,167,148,164,147,236,174,194,145,-0.434699502795823,4.3670069989424,-2.84578351428951,0.0133215258172833,0.792272307712652,-4.0817083984455
"5","GB40495",51,81,89,109,78,94,22,56,63,36,47,50,0.739374050843172,2.98372792590983,3.52448291930236,0.00353096581592676,0.792272307712652,-4.14929258058976
"6","GB40606",9,10,15,9,21,9,19,14,41,36,36,17,-1.26210595997826,1.20661231935717,-3.65750443495203,0.00272368460778984,0.792272307712652,-4.32448037642935
"7","GB40824",151,88,177,234,204,178,128,184,302,207,211,224,-0.434846455814486,4.59608450691597,-2.90912019528387,0.0117747430121386,0.792272307712652,-4.03632924133536
"8","GB41249",11,2,6,13,11,14,11,13,27,17,21,11,-1.03725731362668,0.646392595494044,-3.08678113832067,0.00832029173772291,0.792272307712652,-4.40951532973413
"9","GB41343",26,12,27,61,59,57,25,46,83,86,71,65,-0.853140723859236,2.58288347608384,-2.64202919446483,0.0197733036404906,0.792272307712652,-4.33856045603258
"10","GB41467",258,355,443,494,487,491,284,268,249,275,331,235,0.45943690607788,5.4648664339953,2.68118332841807,0.0183336182226395,0.792272307712652,-4.08160816764386
"11","GB41879",11,20,13,20,22,19,2,4,5,9,11,9,1.30474638723544,0.473078542050459,3.54895302600057,0.00336612349438655,0.792272307712652,-4.3829978266952
"12","GB42024",508,714,891,898,537,789,441,460,539,473,458,474,0.444351641967323,6.25331476748196,2.89210978449494,0.0121718886872745,0.792272307712652,-4.05531116683017
"13","GB42230",513,273,476,570,484,571,351,748,974,539,556,663,-0.505574869005999,6.13915458163114,-3.02574234742829,0.00937588882194438,0.792272307712652,-4.00519055226702
"14","GB42639",24,21,26,16,11,16,5,7,11,8,14,3,1.10573236098549,0.66328001674488,3.01093503919456,0.00965136082541932,0.792272307712652,-4.4169010630503
"15","GB42828",73,41,123,162,91,111,101,105,195,123,111,101,-0.478555328221752,3.79428913581865,-2.66786392420123,0.0188115452866419,0.792272307712652,-4.20649519254784
"16","GB42846",118,63,144,226,159,141,139,141,238,156,184,155,-0.440386771270051,4.29484294772084,-2.77526783363404,0.0152788900495086,0.792272307712652,-4.11146566630922
"17","GB42909",62,59,157,44,51,51,75,24,10,14,18,18,1.46110522470127,2.28885802569504,3.00837869676796,0.00969972323701723,0.792272307712652,-4.31160092229182
"18","GB42970",276,150,423,405,348,422,273,353,532,365,382,385,-0.366669501932451,5.51158481148252,-2.63503678496337,0.0200417152421498,0.792272307712652,-4.09491881848909
"19","GB43075",137,189,249,292,309,291,145,171,155,137,129,142,0.554195340676854,4.61531128726784,3.20606505190204,0.00658663994985681,0.792272307712652,-3.95585695348252
"20","GB43085",6,1,11,9,16,20,13,10,16,19,27,21,-1.12849372040954,0.673241297314571,-2.59840129348379,0.0215067656719984,0.792272307712652,-4.45263899721645
"21","GB43196",233,456,281,375,328,380,153,206,246,225,212,204,0.561245692067983,5.11501171396248,2.68080990784168,0.0183468549527444,0.792272307712652,-4.0853742766547
"22","GB43360",290,165,531,551,294,519,74,126,369,225,127,297,0.866604382871337,5.05270300597724,2.90439924069491,0.0118836663965163,0.792272307712652,-4.02486531219835
"23","GB43418",11,2,11,6,20,21,19,18,23,12,26,17,-1.06610099125487,0.861603717163348,-2.6763924949825,0.0185041472277843,0.792272307712652,-4.43756680097656
"24","GB43515",19,66,35,22,36,9,40,106,79,60,89,28,-1.4336381930411,2.4148733811388,-3.00775203766967,0.00971161531891762,0.792272307712652,-4.29766600920884
"25","GB43577",7,15,17,17,11,14,6,3,9,11,8,3,0.901157607013394,0.300894149010245,2.6102815271874,0.0210206642293744,0.792272307712652,-4.46528188568714
"26","GB43802",0,8,9,13,9,16,6,17,47,31,19,20,-1.7451073801985,0.611487000341873,-2.66208761605676,0.0190225562344962,0.792272307712652,-4.44899441562113
"27","GB43991",68,42,60,67,67,52,53,29,35,36,22,28,0.692914177526926,2.54316831806904,2.80411844818302,0.0144461559630667,0.792272307712652,-4.31569120238613
"28","GB44339",44,25,58,51,50,32,44,46,66,67,68,58,-0.599925257139491,2.70303520139174,-3.05134702596154,0.00891781000204707,0.792272307712652,-4.25916590638927
"29","GB44428",72,41,115,127,145,113,78,123,146,130,141,131,-0.49440686777081,3.8330945764562,-2.69181162692022,0.0179607462595109,0.792272307712652,-4.19543989522145
"30","GB44435",249,371,352,399,297,300,189,203,244,203,215,226,0.469226167974328,5.11662254748612,2.83523868925605,0.013597755999242,0.792272307712652,-4.03228590786044
"31","GB44479",14,23,26,41,45,19,10,12,8,12,13,16,0.985684165549011,1.23424440674354,3.0841548395931,0.00836318030534191,0.792272307712652,-4.37747278485162
"32","GB44557",174,88,177,228,171,182,130,175,307,216,247,199,-0.46088772498728,4.59909103939549,-3.06207567770958,0.00873253381601519,0.792272307712652,-3.98984145342136
"33","GB44676",13,9,17,23,21,35,4,13,12,6,11,9,0.902358958762977,0.769894055292035,3.13983518757313,0.00749924190363853,0.792272307712652,-4.3992430382192
"34","GB44747",122,54,161,183,163,154,103,149,276,179,213,170,-0.538011073969453,4.31567293943039,-2.86530163744909,0.0128246998209382,0.792272307712652,-4.08376178356385
"35","GB44958",11,8,22,9,8,19,3,4,4,10,8,4,1.01496833585225,0.121334390137719,2.91335802043282,0.0116778047457663,0.792272307712652,-4.44378216914613
"36","GB44964",201,189,298,335,238,290,164,202,225,196,190,187,0.249919444738548,4.86930024562647,2.59550578581071,0.0216268795561753,0.792272307712652,-4.1177227236493
"37","GB45005",6,1,6,12,15,17,7,15,28,22,31,20,-1.42849243361279,0.680772618563625,-3.21317276693856,0.00649553807622827,0.792272307712652,-4.39743309496312
"38","GB45250",659,368,963,1181,1225,799,652,794,1559,1241,1631,1280,-0.633694667967169,6.97581534492127,-2.70727673049225,0.0174313408605845,0.792272307712652,-4.16597290855607
"39","GB45313",95,54,89,84,61,83,58,43,32,49,53,38,0.632350254816843,2.95543711365454,2.80038422114081,0.0145513817432062,0.792272307712652,-4.27739144168407
