"","ID","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40137",33078,5842,14112,19106,19818,23946,2558,11426,10438,5193,15969,13210,0.951877338712315,10.8196923612051,2.87328324309383,0.0125648243258714,0.999247799056014,-4.32660452514809
"2","GB40212",3227,349,854,1120,1288,938,209,430,500,182,1407,527,1.17576693561683,6.66313015349121,2.91019930411397,0.0116903649946772,0.999247799056014,-4.00183050395653
"3","GB40363",22,11,22,15,14,21,14,27,25,23,39,18,-0.540460795554301,1.62177970043551,-2.67176801913371,0.0185943952679128,0.999247799056014,-4.39151308431211
"4","GB40409",425,63,102,150,95,133,19,59,90,39,158,60,1.04190795421024,3.73500255078973,2.69908113769626,0.0176360985712995,0.999247799056014,-4.18617248762785
"5","GB40561",43,36,45,42,48,62,47,81,56,61,59,61,-0.487158362370496,2.99752645308864,-2.72291989990371,0.0168391280723912,0.999247799056014,-4.26437487685157
"6","GB41361",19,396,101,321,144,67,196,250,355,1405,625,272,-2.08026635761518,5.03291607134169,-2.83400539652591,0.013565847547694,0.999247799056014,-4.02049757834549
"7","GB41581",11,6,8,6,15,15,6,24,16,19,26,16,-0.871497590203238,0.972801209078973,-3.19731989988751,0.00665734383397807,0.999247799056014,-4.37909648113271
"8","GB41666",9,2,4,9,8,10,5,10,13,14,16,10,-0.814552813590933,0.392072887356333,-2.82430667186736,0.0138248354472015,0.999247799056014,-4.44475419585736
"9","GB42053",61407,7972,32831,36283,15699,15017,5645,16598,16273,5890,15808,8724,1.03375216851824,11.1834116520668,2.84098169622368,0.0133825063287319,0.999247799056014,-4.34876994220314
"10","GB42140",214,123,235,214,220,225,114,357,301,263,264,243,-0.384060495236318,5.06907268689096,-2.70303427942955,0.0175014435152688,0.999247799056014,-4.00868703635692
"11","GB42334",246,115,266,153,214,370,92,135,133,73,212,189,0.6108675376082,4.65856433695873,3.03219823791395,0.00920606574389369,0.999247799056014,-3.94036308863017
"12","GB42467",190,128,407,103,153,288,115,22,217,59,60,93,1.29985873147706,4.1819203055382,2.65338851482065,0.0192675404488512,0.999247799056014,-4.1453236905348
"13","GB42514",26,5,7,122,8,17,40,112,81,196,47,125,-2.42775245112471,2.52048563825547,-3.92625953670549,0.00160002118294735,0.999247799056014,-4.15909783597603
"14","GB42660",104,53,72,69,91,129,39,42,70,27,96,59,0.596094527309551,3.31146659484926,2.77628008136583,0.0151804097100904,0.999247799056014,-4.21687866453711
"15","GB42736",408,224,305,322,349,439,161,259,329,208,294,292,0.316897853660558,5.45460907946054,3.06140770587204,0.00869347294475855,0.999247799056014,-3.86048004738704
"16","GB42801",40,19,13,84,56,95,6,21,9,14,14,37,1.40192291864658,1.90284139982225,2.84041233336057,0.0133973779445578,0.999247799056014,-4.35453134788208
"17","GB43091",1663,611,770,885,687,994,200,493,496,300,821,619,0.911430844095047,6.56613567943645,4.36433333644649,0.000690640565720918,0.999247799056014,-3.56075416797523
"18","GB43361",6,4,7,14,9,12,4,20,19,11,27,18,-0.95068743272333,0.765860954488068,-3.11402481673103,0.00784054391338771,0.999247799056014,-4.40051088424359
"19","GB43571",1025,639,1979,1454,2526,551,519,466,773,80,702,427,1.46039110194241,6.71128013109068,2.75903638127786,0.0156981758951471,0.999247799056014,-4.06028239483706
"20","GB44063",338,120,212,199,196,245,92,189,206,130,189,159,0.328253081520132,4.77335777853534,2.68007898470894,0.0182975637226992,0.999247799056014,-4.04314647220362
"21","GB44076",6,5,7,10,10,9,8,23,12,16,12,11,-0.830908208033317,0.66109180162222,-2.99785535943608,0.00984714615316001,0.999247799056014,-4.41682206460386
"22","GB44248",6,4,8,9,8,6,13,12,9,8,20,10,-0.832169501751237,0.484476523990288,-2.81195719051752,0.014161632411643,0.999247799056014,-4.44173483419579
"23","GB44452",75,49,99,69,58,100,30,64,53,20,39,74,0.657279269007759,3.08706112468871,2.76201187141621,0.0156076168819498,0.999247799056014,-4.24764546960553
"24","GB44589",35,14,35,46,30,61,10,24,19,19,27,33,0.61535160105689,2.02760197307781,2.67816119617861,0.0183656472238,0.999247799056014,-4.362152858017
"25","GB44842",1380,841,855,1219,1319,1384,483,982,1109,561,985,901,0.431149681555181,7.17874103823157,3.00996537267219,0.0096161966792458,0.999247799056014,-4.01648589817527
"26","GB45094",34,22,38,40,38,43,23,55,46,37,60,53,-0.425720785746456,2.58584281306034,-2.80901925219341,0.0142429327790323,0.999247799056014,-4.29054415030695
"27","GB45198",22,14,32,42,23,43,23,57,42,38,58,32,-0.625438834939284,2.34034760670017,-2.87879851815961,0.0124302047813984,0.999247799056014,-4.30380486238447
"28","GB45199",88,53,118,94,89,111,65,164,97,116,228,132,-0.582396482846879,4.00280110042992,-3.11422426202094,0.00783747450940498,0.999247799056014,-4.02083045754981
"29","GB45253",10,5,7,11,5,5,9,17,25,11,10,9,-0.939534092433044,0.562547064598444,-2.89087008353638,0.0121404864938716,0.999247799056014,-4.43134285552617
"30","GB45540",337,200,332,352,277,429,243,401,335,356,510,381,-0.310688064959035,5.6750062765488,-2.65953336047335,0.0190398950801285,0.999247799056014,-4.01277949118155
"31","GB45565",3039,831,2295,5298,3759,1684,247,386,698,1368,2659,1023,1.51440170961355,7.71033156514638,3.02287144778115,0.00937596484526494,0.999247799056014,-4.07242189096773
"32","GB45648",261,146,226,259,225,310,230,404,328,453,362,283,-0.63001782538692,5.40352012202413,-3.97975860831659,0.00144268279937099,0.999247799056014,-3.55151586143292
"33","GB45661",798,342,547,534,471,548,283,352,422,281,511,427,0.403569202156429,6.06193692281074,2.90818492452835,0.0117364963184432,0.999247799056014,-3.93718332199954
"34","GB46057",127,33,89,143,93,166,13,40,83,44,42,63,1.13313277286255,3.27697884914997,3.92396613486732,0.00160714482817084,0.999247799056014,-3.99829121919172
"35","GB46068",198,204,237,241,236,256,239,345,241,265,394,289,-0.459289031260116,5.28727967375317,-2.66514402731432,0.0188343218265376,0.999247799056014,-4.01396230394277
"36","GB46197",16,6,13,14,11,22,4,9,13,6,7,8,0.672148262444981,0.631392311617694,2.89158920344996,0.0121234388020581,0.999247799056014,-4.42781752221442
"37","GB46216",66,36,57,52,55,75,36,85,107,60,88,60,-0.417142582815095,3.23624352473668,-2.8536985024466,0.0130545373795555,0.999247799056014,-4.20803139015927
"38","GB46282",157,81,155,134,133,235,80,217,226,141,285,170,-0.392925610897961,4.57594120690896,-2.75040731441986,0.015963713803076,0.999247799056014,-4.03908744637609
"39","GB46308",393,190,328,407,384,489,147,260,303,214,319,278,0.416210036753313,5.4786364773969,3.96861492789894,0.00147409928957404,0.999247799056014,-3.55333364159105
"40","GB46596",86,59,104,49,75,184,17,33,56,11,59,45,1.28283550766552,2.97581884983816,3.87656873522022,0.00176183563637513,0.999247799056014,-4.06738436989421
"41","GB46677",6,5,3,4,10,13,6,15,11,9,21,14,-1.0200262748901,0.444232051105376,-3.22782818976855,0.00627004465287504,0.999247799056014,-4.40945548097162
"42","GB46790",26,21,19,32,28,31,34,36,44,43,65,29,-0.737360567338371,2.31177286269825,-3.15186158039799,0.00727913490151929,0.999247799056014,-4.26525364538596
"43","GB46984",528,335,295,618,416,946,336,825,1148,605,846,675,-0.608152645330295,6.45471207431741,-2.87324488318798,0.0125657656343839,0.999247799056014,-3.98212263328357
"44","GB47060",9,3,9,5,6,7,5,27,16,6,13,11,-0.944436251828158,0.41417530744995,-3.11445288446447,0.0078339575473185,0.999247799056014,-4.41995231590112
"45","GB47367",12,7,8,15,13,10,12,28,22,25,13,15,-0.85500856753281,1.11881470807828,-2.93308663585245,0.0111786050218647,0.999247799056014,-4.39544930776645
"46","GB47466",98,39,78,79,72,78,56,116,85,72,140,96,-0.432331867372886,3.61274444669676,-3.01287787186952,0.00956145698821963,0.999247799056014,-4.11521899640882
"47","GB47536",3,5,27,15,32,17,18,77,120,26,39,16,-1.69729143541736,1.74705108366646,-2.89933702483073,0.0119412540310348,0.999247799056014,-4.35969365723408
"48","GB47538",444,246,406,403,433,582,315,517,557,533,583,458,-0.357426506315863,6.07296082715112,-3.11990608689624,0.00775053299339034,0.999247799056014,-3.85778555922544
"49","GB48030",14,9,17,15,7,14,5,10,5,5,10,5,0.784539362095762,0.492723160577628,2.79226497800714,0.0147153782814713,0.999247799056014,-4.44314613236494
"50","GB48149",27,22,22,38,25,24,24,47,33,22,62,53,-0.661635738802861,2.25873365195402,-2.75920327807686,0.0156930828315864,0.999247799056014,-4.33016639033887
"51","GB48289",8456,2036,3508,5285,4661,6182,665,1970,2658,1224,5642,3105,1.08287855672978,8.85987813763879,3.26944617866682,0.00577775068021197,0.999247799056014,-4.12214472004645
