"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB41302",415,378,547,466,269,342,170,130,132,255,198,180,1.28545511329776,4.87972749645455,5.47638547855302,9.44174152934749e-05,0.159607151113437,1.55296042594809
"2","GB44220",92,97,102,92,221,198,360,622,346,342,622,331,-1.75620126997842,4.69007477149838,-5.55588194605335,8.22447254960681e-05,0.159607151113437,1.63073298228265
"3","GB44482",869,1056,1318,785,1070,1026,1796,2199,2255,1648,2552,1548,-0.908258152069634,7.31110190828181,-5.19310305923141,0.00015549528612107,0.159607151113437,1.03478388025588
"4","GB45293",89,90,136,118,134,97,156,413,258,152,269,233,-1.05701918650981,4.17114472971238,-5.26091814470219,0.000137853706459169,0.159607151113437,1.16219917850727
"5","GB45400",898,1343,1995,2553,1225,1428,967,793,709,613,760,565,1.08699821771635,6.86993951455002,5.17037185112748,0.000161922644936022,0.159607151113437,1.04140889546769
"6","GB46513",16,31,41,29,57,67,89,178,140,97,219,104,-1.79427053701639,2.96769705526567,-5.23703000575693,0.000143816983131035,0.159607151113437,0.825093753208997
"7","GB48097",85,100,160,68,118,137,229,538,378,180,454,250,-1.50546226766063,4.37310592170197,-5.75915750691419,5.80172396739709e-05,0.159607151113437,1.89416773058188
"8","GB48573",1033,810,1650,1453,724,807,434,642,505,670,418,483,1.04174967213399,6.36132911824298,5.39835067845902,0.000108208527098773,0.159607151113437,1.42557504917523
"9","GB48665",30,58,95,56,78,50,109,270,177,115,190,110,-1.33641671455892,3.40922512334225,-5.35524438019641,0.000116714302409273,0.159607151113437,1.13312403867671
"10","GB50065",22,26,47,25,70,83,145,191,151,166,265,124,-2.03094235556383,3.21720182992195,-5.58566050915411,7.81180223738706e-05,0.159607151113437,1.34466643573755
"11","GB52489",966,688,808,892,809,890,565,318,451,166,371,454,1.28356846317349,5.95882266003475,4.99366644811925,0.000222365493685833,0.182654722605104,0.812094520951284
"12","GB53012",1037,844,1101,778,928,876,1543,2062,2489,1282,2105,1496,-0.882877095226387,7.1750677903339,-5.00825325814928,0.00021658471815692,0.182654722605104,0.769436411000323
"13","GB40139",8,27,99,84,191,156,179,641,387,156,525,494,-2.45465777068437,4.05717084132768,-4.05328269320347,0.00128243359394948,0.1838367863668,-0.779250371252692
"14","GB40231",14,10,14,19,12,18,25,46,39,29,49,22,-1.17207954518017,1.33217686742276,-4.095009992404,0.00118412052338492,0.1838367863668,-1.12977602012721
"15","GB40718",2621,3345,4862,4165,3396,3195,2468,2902,2376,2250,2303,2481,0.577573260403376,8.37477271345269,4.47574309575058,0.000576473118872792,0.1838367863668,-0.145096696480688
"16","GB40908",92,123,96,56,86,81,181,166,180,122,192,133,-0.827644322906503,3.73839685555201,-4.13191221397005,0.00110362074612409,0.1838367863668,-0.643509627201311
"17","GB40941",1272,1914,1999,4562,1019,1812,641,1793,742,709,693,633,1.27891811416958,7.10502380383146,4.45732163290124,0.000596692668115435,0.1838367863668,-0.0927363304550832
"18","GB41033",222,293,517,406,109,256,125,128,54,182,87,71,1.5392433134516,4.21192566447325,4.51607646586413,0.000534634997275902,0.1838367863668,0.0014598258772125
"19","GB41065",974,2438,4418,2659,1042,1990,790,1206,971,1227,595,1003,1.09922270886393,7.25906927070533,4.11561692873492,0.00113845238770886,0.1838367863668,-0.656114838814002
