"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40094",155,121,165,170,87,113,89,78,69,39,53,129,0.838265691569335,3.45391711538173,3.79699496350488,0.00215465269633427,0.90906581505128,-3.83380433991972
"2","GB40616",26,19,26,39,21,28,55,55,34,29,24,44,-0.621129405795518,1.84954455947499,-2.92421902677189,0.0116579255902859,0.90906581505128,-4.28617692163006
"3","GB40746",690,930,1067,862,958,761,1295,1055,1238,1199,868,1071,-0.38717472803136,6.79303394006107,-2.928103948224,0.011570643786945,0.90906581505128,-3.90416257794381
"4","GB40747",241,403,500,257,287,250,713,484,279,395,345,431,-0.464499106630283,5.35358975821389,-3.10617389111107,0.00819433107595884,0.90906581505128,-3.71939224984254
"5","GB40837",22,53,57,69,59,56,211,95,68,50,52,139,-0.90937495960074,2.91910121360256,-3.09630780529533,0.00835265946433946,0.90906581505128,-4.11171327892325
"6","GB40892",333,460,446,341,321,276,651,422,350,460,445,580,-0.436503589809382,5.53814777843521,-3.28204695127834,0.00582522618290995,0.90906581505128,-3.64461666868293
"7","GB40976",2397,5050,6990,3435,3520,4588,8003,6252,8929,9502,4320,5536,-0.779703569580709,9.21992699319118,-3.03893991575353,0.00933546757270559,0.90906581505128,-4.11373365184305
"8","GB41212",74,107,97,46,106,34,316,140,204,148,184,123,-1.32241891681771,3.66530054397464,-4.62371282642354,0.000455379736654437,0.90906581505128,-3.60844464989603
"9","GB41290",156,176,249,198,209,161,291,299,229,188,149,279,-0.326336996527584,4.56506551962799,-2.8761318483589,0.0127936173918224,0.90906581505128,-3.877001359339
"10","GB41366",1014,728,900,928,734,805,857,831,568,475,406,714,0.444158253714668,6.34989475157853,2.89455698954682,0.0123461160198281,0.90906581505128,-3.8680473655787
"11","GB41413",9441,14089,24996,15546,10090,10378,9458,11886,6642,8035,7529,11170,0.53265249173425,10.2602222498923,3.01575285699019,0.00976456547321881,0.90906581505128,-4.20231409921224
"12","GB41617",325,328,497,618,449,276,310,409,166,234,215,379,0.526844487603591,5.21743033652856,2.91067492276597,0.0119673340335951,0.90906581505128,-3.81086665213003
"13","GB41699",29,38,42,34,17,26,19,7,21,20,8,26,0.944430630812243,1.29466290656923,2.85426323718385,0.0133455267211433,0.90906581505128,-4.34923977872725
"14","GB41735",647,623,1342,713,628,536,865,739,336,414,369,552,0.448168879173239,6.09102695963928,2.86052447566034,0.0131851568176564,0.90906581505128,-3.8583049953925
"15","GB41904",111,199,111,116,143,81,126,62,35,71,85,72,0.746117216753311,3.39132811974248,2.86585230845059,0.0130501895939443,0.90906581505128,-4.09012779479882
"16","GB42271",8,27,19,21,17,19,43,40,41,30,30,22,-0.933725512582035,1.47718741836898,-3.53136526982158,0.0035938532744929,0.90906581505128,-4.24295326245938
