"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40217",194,255,470,386,304,358,187,81,96,86,72,76,1.81798192964656,4.28275664676314,6.34080733986884,2.33076630508138e-05,0.147703155698418,0.91379692828187
"2","GB53554",15,69,36,45,32,38,10,5,9,11,9,9,2.10749442529547,1.03324316903848,6.18544758138628,2.99691905647597e-05,0.147703155698418,-1.57133793415975
"3","GB41228",135,262,551,405,262,352,128,57,44,87,93,26,2.3353382857181,3.97162820880741,5.47533796136858,9.86816277634235e-05,0.194540960972813,-0.0623913153888012
"4","GB45615",387,350,852,1316,959,994,329,125,58,136,108,38,2.90562288732221,4.96336574320883,5.5585988757709,8.55018470690398e-05,0.194540960972813,0.24889559006148
"5","GB55710",421,664,590,481,346,447,302,471,358,336,255,290,0.595950516642861,5.48806996224872,5.65299798296656,7.27596737198116e-05,0.194540960972813,0.770925570260131
"6","GB47055",162,348,614,291,173,237,101,193,99,76,94,161,1.29737917913744,4.3202993377817,5.12141955257649,0.000183442481963057,0.301365424118309,-0.0849616239208073
"7","GB54172",178,417,394,435,395,452,237,157,188,169,134,142,1.17663874703805,4.80215657006759,4.96660838555886,0.000241872054511786,0.340590405903239,-0.086577216384736
"8","GB48228",18722,27900,72773,54191,43467,65707,19363,5018,2793,8061,5769,1768,3.03116055708097,10.7258376048841,4.86866610044879,0.000288578308111835,0.355564547882295,-1.57076943210569
"9","GB40696",5491,6588,21325,15630,18295,22599,7225,1300,1136,2886,1678,644,2.90524482902093,9.0932015332081,4.46169267996731,0.000608786800879195,0.392826105224564,-1.41495973855533
"10","GB40697",9579,9511,26396,19119,18384,30341,10950,1794,1503,3725,2040,783,2.89968038290787,9.49008566376457,4.41757695162697,0.000660879299969233,0.392826105224564,-1.55745999621764
"11","GB41110",34,48,93,26,46,22,110,136,88,99,72,239,-1.45535852779388,2.94190487352403,-4.4977845549125,0.000569331549059302,0.392826105224564,-1.36508921452013
"12","GB44112",148307,277864,477568,428377,354826,538923,188871,34082,29371,59055,58616,15155,2.90421636846685,13.7945657781636,4.6972192646985,0.000394246580299449,0.392826105224564,-2.4780668149338
"13","GB45147",1117,2076,1877,1367,1408,1365,2430,3010,3056,1664,1658,2295,-0.550987341084768,7.70621745214505,-4.44657790815166,0.000626139506753037,0.392826105224564,-1.0189426202879
