"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40080",15,19,24,45,22,37,59,95,49,113,50,32,-1.33407168260353,2.15928494580238,-3.75183216075818,0.00229060621767056,0.461888703005966,-2.25986458693276
"2","GB40139",8,27,99,387,84,156,179,641,156,525,191,494,-2.19721435954618,4.05717084132768,-3.34760202677581,0.00503094758759494,0.461888703005966,-2.21537332585855
"3","GB40288",364,339,353,332,558,332,114,253,157,171,218,340,0.854375143392367,4.93430635221334,3.55780996801807,0.00333880105612259,0.461888703005966,-1.76304479076305
"4","GB40377",20,20,27,28,20,19,53,52,17,31,30,46,-0.774322660433636,1.68536609236121,-3.57191574740661,0.00324837339478825,0.461888703005966,-2.57041217276596
"5","GB40704",18,32,24,23,15,20,43,58,21,55,41,36,-0.977035790348405,1.75263621424267,-4.15332810137494,0.00105900642485988,0.461888703005966,-2.07506728470083
"6","GB40873",10,13,11,28,9,25,26,37,26,48,22,27,-1.11041728297396,1.26680904641569,-3.35386107024533,0.004969822319209,0.461888703005966,-2.88798499396794
"7","GB40923",32,51,74,110,33,87,121,164,80,191,85,94,-1.06269465670865,3.21934349613237,-3.53140644822042,0.00351496538319474,0.461888703005966,-2.12282586114731
"8","GB41156",40,75,66,161,67,151,220,278,170,404,178,119,-1.43318480215292,3.90577249366964,-3.79453408443718,0.0021089307475571,0.461888703005966,-1.63414564737854
"9","GB41325",256,227,313,286,248,134,131,206,139,129,97,174,0.659608108250308,4.37166573094194,4.3913454523356,0.000674960328004079,0.461888703005966,-0.732221116156381
"10","GB41407",18,28,38,20,26,24,43,97,27,36,66,120,-1.26420796311258,2.10157130268873,-4.1592430789814,0.00104714622727672,0.461888703005966,-1.92457588984523
"11","GB41684",148,167,167,158,179,86,85,159,89,68,93,72,0.620060869710744,3.70708258971782,3.50363771095806,0.0037103857999629,0.461888703005966,-2.01949766740093
