"","ID","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB42607",192,458,188,422,267,309,587,305,695,359,747,1349,-1.36448645870481,6.00219366029498,-6.08707121091299,3.14110620801564e-05,0.306948898647289,-0.95490045438999
"2","GB40014",184,255,128,282,214,203,68,44,88,165,181,217,0.552294715149471,4.53465898728548,3.54651802611558,0.00334453362098673,0.349875720872313,-2.66684465658024
"3","GB40017",144,131,85,225,142,150,39,34,56,137,105,112,0.658754044599801,3.94640134033911,3.20743871124779,0.00651167270511833,0.349875720872313,-3.08270867731266
"4","GB40054",815,1846,1600,1531,1772,1651,3074,1310,1448,2583,1943,5817,-0.979065386744224,8.17378744801892,-3.42876869616631,0.00421419006744552,0.349875720872313,-3.08263680656111
"5","GB40400",104,96,90,162,110,143,26,27,31,94,88,98,0.797884396021658,3.57368937236498,3.33719313902452,0.00504522892533742,0.349875720872313,-3.10462544779029
"6","GB40435",69,103,71,143,85,91,75,45,103,148,111,170,-0.445856708369724,3.88236142218597,-3.24491268099161,0.00604907743930446,0.349875720872313,-3.05431568963362
"7","GB40619",2628,9194,2416,6318,6820,7611,4153,3843,15904,8558,7715,20033,-1.00024058268458,9.9851331956117,-3.30484143390368,0.00537659561918345,0.349875720872313,-3.45983505590125
"8","GB40635",249,533,149,400,388,407,242,319,886,448,546,685,-0.852923060437003,5.93090977818348,-3.53496111915736,0.00342120344284947,0.349875720872313,-2.61371021862416
"9","GB40907",789,278,370,781,531,755,103,115,178,365,341,284,1.11456467497457,5.68839918310931,3.66920666837802,0.00263019650464508,0.349875720872313,-2.52771500445505
"10","GB41174",117,116,69,188,145,159,20,25,38,110,115,89,0.885515332687142,3.66580243598811,3.30350805159349,0.00539071140378297,0.349875720872313,-3.10404208100708
"11","GB41592",42,49,43,58,51,35,15,11,19,33,26,48,0.656409518128932,2.33286929362234,3.22380580593286,0.00630543677744636,0.349875720872313,-3.5415088135469
"12","GB41607",91,83,40,115,93,60,18,22,27,52,52,64,0.789778239235364,3.01068253925636,3.4211930097992,0.00427738110564901,0.349875720872313,-3.23332338709856
"13","GB41673",42,41,22,57,37,38,4,8,8,29,23,33,1.09056852514128,1.84288297116718,3.51265355186931,0.00357424858085059,0.349875720872313,-3.55772692605326
"14","GB41708",29,168,53,151,137,114,261,73,320,275,148,494,-1.51992281579657,4.47333332478136,-4.43562232548105,0.000600596670670264,0.349875720872313,-2.0808470795099
"15","GB41824",57,41,27,45,39,43,19,5,14,26,31,25,0.858941760984926,2.07382448044323,3.20217605125943,0.00657940554284053,0.349875720872313,-3.623930184947
"16","GB41945",53,405,106,226,94,100,231,113,460,205,343,676,-1.41156182274832,4.90525186766882,-3.95526496315088,0.00150706827593435,0.349875720872313,-2.30522135668373
"17","GB42022",122,145,78,237,145,141,25,28,48,118,114,119,0.785901342961039,3.83504487463973,3.38656389413224,0.00457858549247726,0.349875720872313,-2.98836590914152
"18","GB42314",36,26,14,45,30,27,8,5,6,18,22,18,0.981539926177021,1.48356306984082,3.30248053085838,0.00540161451899615,0.349875720872313,-3.72679453652522
"19","GB42383",99,130,83,153,119,124,18,36,34,83,92,104,0.827085549491489,3.57920757449846,3.60734885508878,0.00296867139154969,0.349875720872313,-2.92201410720384
"20","GB42475",173,756,236,425,273,266,623,223,948,491,434,689,-1.0591898555033,5.9612234289235,-3.57720530003316,0.00314926487233226,0.349875720872313,-2.5853250870528
"21","GB42598",6,26,9,18,15,25,15,21,54,24,23,58,-1.18899891365393,1.69580972016615,-3.49069298278076,0.00373166003719316,0.349875720872313,-3.59589170076126
"22","GB42686",157,927,283,338,276,308,580,302,778,479,388,812,-1.02757123462991,5.99465121122907,-3.25012775291119,0.00598735752497167,0.349875720872313,-2.86899199555174
"23","GB42838",416,396,323,563,358,396,93,76,183,325,334,331,0.757108404196697,5.41703789079998,3.82950519594322,0.00192384848869701,0.349875720872313,-2.36366163590127
"24","GB42997",114,133,89,161,128,125,33,35,64,98,103,109,0.561086409560258,3.80522570745387,3.69341052400164,0.00250864714424935,0.349875720872313,-2.76774107418198
"25","GB43105",279,338,211,473,339,343,104,69,183,238,286,263,0.593206051653024,5.17248021206109,4.17876530440583,0.000979596496495566,0.349875720872313,-2.07920768805996
"26","GB43116",503,1208,656,788,857,883,1126,558,1247,1030,816,1488,-0.676407643971462,7.0955452274972,-3.23275249849309,0.00619547304977625,0.349875720872313,-3.03825822553422
"27","GB43175",335,822,360,837,547,672,424,357,700,783,754,1391,-0.564173546232715,6.5580204635688,-3.80002766350348,0.0020374891274851,0.349875720872313,-2.49806639849791
"28","GB43738",113,1816,147,453,365,358,755,314,1712,1097,821,962,-1.60345038476074,6.38537360036473,-3.41780432132812,0.00430595482191201,0.349875720872313,-2.7869274801074
"29","GB43946",30,49,32,59,61,33,9,12,12,25,24,38,0.91998867373359,2.10204083184725,3.95262411928817,0.00151479677226784,0.349875720872313,-3.29379035323381
"30","GB44122",514,402,288,808,579,891,220,100,161,397,408,377,0.829419945810907,5.81330147726861,3.30638510925139,0.00536029981433124,0.349875720872313,-2.82712876358174
"31","GB44252",52,64,35,118,57,51,8,8,16,51,34,60,0.998296242491717,2.48985057294429,3.26588410954888,0.00580468076870611,0.349875720872313,-3.48646890675527
"32","GB44359",111,148,99,229,164,160,28,25,52,138,110,141,0.763295399581917,3.92478968501895,3.41682934495442,0.00431421141186425,0.349875720872313,-2.93951923197945
"33","GB44365",51,85,37,82,47,48,13,7,24,56,28,54,0.812706658945224,2.51800406443245,3.23462371233742,0.00617271730848231,0.349875720872313,-3.48916872475688
"34","GB44564",2714,7651,3460,7254,6190,4832,7462,3191,9237,8815,6872,13025,-0.901257367839845,9.88109236463898,-4.2464840530566,0.000860500318798744,0.349875720872313,-2.99684826534555
"35","GB44762",70,57,42,90,69,81,19,16,24,51,45,47,0.783528105521241,2.80997079534866,3.72810159880429,0.00234429133419809,0.349875720872313,-3.13505688593994
"36","GB44800",23,20,13,41,30,19,5,1,4,18,8,18,1.39099934545663,0.968995097679729,3.7907507942099,0.00207464763324381,0.349875720872313,-3.68117704872309
"37","GB44933",85,118,52,136,91,89,26,12,39,73,78,81,0.724153073631309,3.27339481758408,3.51340922622112,0.0035689527902807,0.349875720872313,-3.08788721352794
"38","GB45321",22,14,13,32,22,11,4,1,6,11,5,15,1.26694848042628,0.682005558086508,3.46616869585404,0.0039157244639328,0.349875720872313,-3.83059864880927
"39","GB45505",249,517,224,396,386,354,509,206,459,461,403,637,-0.63506756720142,5.8735684911245,-3.5649818891619,0.00322562558471014,0.349875720872313,-2.57916935059316
"40","GB45515",63,157,95,95,105,105,100,70,214,126,120,220,-0.679473662748817,4.14582904240174,-3.20346530581032,0.00656274751164995,0.349875720872313,-3.02236693381135
