"","ID","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB43285",1730,513,3220,1629,2891,1329,106,205,472,175,670,313,2.60948495005936,6.67053408209057,6.3663810227806,1.86750298390553e-05,0.182492391587248,2.73542956126245
"2","GB40728",26,43,84,58,90,77,125,196,133,158,98,162,-1.20861104072082,3.816036273055,-4.55285246717788,0.00046704089807102,0.253551314219445,0.0577653552364792
"3","GB41338",678,153,1241,946,576,284,51,161,182,145,208,214,1.85865596898826,5.41436584622845,5.69833077557697,5.80465878658975e-05,0.253551314219445,1.9069367167609
"4","GB41339",280,167,154,424,246,252,56,96,98,94,106,155,1.36279504930036,4.55899976648017,4.79956507250614,0.000293872446727301,0.253551314219445,0.512159206631045
"5","GB42298",829,358,937,787,1001,660,296,573,376,292,598,685,0.783656396507982,6.45255851627552,4.71571267388868,0.000343707546767202,0.253551314219445,0.384438662317888
"6","GB42907",31,51,33,62,79,25,130,257,67,201,165,124,-1.76475454155711,3.61904024489749,-4.58075422689816,0.000443042867923648,0.253551314219445,0.0613498454073085
"7","GB43284",58,7,135,25,62,22,1,3,5,1,16,7,3.2465222008165,0.918875705769144,5.13758727851257,0.0001576863748198,0.253551314219445,-0.0393182638379592
"8","GB43783",314,127,185,279,467,103,17,50,95,11,110,31,2.54714416282561,3.81818932539782,4.67496498209487,0.000371005752904263,0.253551314219445,0.194847032362096
"9","GB43784",936,508,658,1251,1484,427,114,119,318,58,331,95,2.64973907899614,5.69284893670729,5.37456384423256,0.000102828760470454,0.253551314219445,1.39628412196806
"10","GB47075",203,99,254,283,270,251,50,83,151,76,186,113,1.19274590201853,4.50493656591785,4.80192825841072,0.000292581581134465,0.253551314219445,0.518134305123248
"11","GB47493",41,33,128,57,67,61,106,214,85,123,130,125,-1.00562797527612,3.73381926763884,-4.57402964289121,0.000448707728478111,0.253551314219445,0.0855679185790814
"12","GB48029",75,107,509,180,373,512,533,952,443,670,854,1237,-1.6207333526962,5.98498014689227,-4.63624163028623,0.000399027009708126,0.253551314219445,0.260026235356913
"13","GB48387",7,2,10,18,15,23,24,42,20,40,27,49,-1.50924823026421,1.51005324124537,-4.98732947752151,0.000207584193239763,0.253551314219445,0.0306127546807744
"14","GB49912",36,9,65,33,49,24,5,6,11,4,25,7,2.04041600007891,1.32192084108232,5.02916177628709,0.000192231766353306,0.253551314219445,-0.0161283765880347
"15","GB51218",1095,117,657,319,1064,458,54,33,115,65,223,130,2.616706161501,4.97930631560726,5.09084637687886,0.000171711506253488,0.253551314219445,0.94158635575547
"16","GB52004",1946,839,3087,1539,1793,1868,406,742,609,135,912,909,1.79154779617939,7.1954496262239,4.60891343384219,0.000420111351454032,0.253551314219445,0.167720652956188
"17","GB54199",24,13,60,39,37,43,53,99,48,61,49,105,-0.904856989393118,2.84866861782912,-4.61433259423545,0.00041584073807157,0.253551314219445,-0.0127463337810445
"18","GB54480",513,230,325,443,457,238,122,108,225,54,153,95,1.76275589076705,4.95829556240774,4.58338829315604,0.000440844067752826,0.253551314219445,0.172539094532176
"19","GB47455",1160,193,1333,797,1382,868,153,477,308,272,601,545,1.21961901935059,6.37384179156231,4.45364570340374,0.0005637894873346,0.263056655320757,-0.0435034318429679
"20","GB48923",1358,487,1423,1522,1285,856,334,530,773,397,629,702,1.05603577596624,6.87712798907778,4.45223243248105,0.000565307998540309,0.263056655320757,-0.0631293577895482
"21","GB55508",765,452,703,929,849,514,219,466,381,299,513,539,0.917190212081808,6.30272951751147,4.47528468872818,0.000541056705212994,0.263056655320757,-0.00380123584564185
"22","GB44043",43,7,81,59,53,71,21,1,16,0,12,1,3.54525405757627,1.03568362750582,4.37281698711554,0.000657773199626017,0.279467813336758,-0.862469845571985
"23","GB52955",152,120,554,286,409,420,379,693,332,699,620,773,-0.921250353913896,5.93261335991527,-4.3851278602806,0.000642478128769532,0.279467813336758,-0.147915496044457
"24","GB41222",165,30,329,138,189,128,17,32,78,45,107,62,1.60346114100226,3.63900571989367,4.23948793255576,0.000849506911170534,0.299413990968234,-0.462364012646695
"25","GB45552",29,15,46,57,47,25,10,15,23,11,22,13,1.25251854754265,1.81535162034279,4.22339836377294,0.000876242700256581,0.299413990968234,-0.814893292178533
"26","GB47399",59,30,166,69,77,65,128,271,83,99,151,199,-0.975425610592271,3.93972065415042,-4.21615466588968,0.000888559735783749,0.299413990968234,-0.466630703602398
"27","GB48243",48,16,107,71,76,42,6,8,24,23,46,22,1.68411779987632,2.23803401849852,4.22674355808418,0.000870613843079484,0.299413990968234,-0.717771723572315
