"","ID","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40132",18,22,66,30,30,33,4,3,15,7,16,21,1.09083162287495,1.38685196660131,3.12388434374112,0.00766356161109372,0.524318613887465,-4.39621129797171
"2","GB40233",24,17,24,14,18,23,25,15,25,29,31,25,-0.887728095937822,1.7884305299491,-3.72046343828433,0.00237452329926505,0.524318613887465,-4.30097307341959
"3","GB40420",22,31,23,26,31,31,11,5,10,6,17,7,1.02649107646314,1.28893096948787,3.66663512549407,0.00263809765398414,0.524318613887465,-4.35627954351611
"4","GB40808",476,815,1385,860,1116,1521,153,152,449,348,767,670,0.864808341334347,6.48693800220519,3.2077434170491,0.00649823457024709,0.524318613887465,-4.03891494896074
"5","GB40862",388,668,307,405,452,734,583,363,448,714,503,525,-0.744777026687317,6.24196189464161,-3.12663481741807,0.00762222781204708,0.524318613887465,-4.01850772942789
"6","GB41002",6,10,19,8,10,20,1,0,5,1,12,5,1.51176237742684,-0.200234900871883,3.070801391529,0.00850637395715446,0.524318613887465,-4.4558493179886
"7","GB41224",27,32,35,22,29,22,42,19,32,29,37,37,-0.774244114384203,2.21052586825646,-3.18720619776668,0.00676616915849524,0.524318613887465,-4.31646897930737
"8","GB41336",12,11,23,13,12,11,1,1,6,3,11,7,1.14381634522638,0.200127497618968,3.03056795237778,0.00920587923855378,0.524318613887465,-4.45383219713304
"9","GB41340",111,98,104,90,94,83,95,77,110,94,107,136,-0.654577817197627,3.93914973294035,-3.16086752796017,0.00712597095603282,0.524318613887465,-4.08994272061474
"10","GB41584",92,106,138,89,125,106,147,51,138,129,143,111,-0.652342131388299,4.1005313568844,-3.16780408222348,0.00702940451713958,0.524318613887465,-4.06229969061304
"11","GB41680",94,239,422,241,170,305,36,29,84,76,177,165,0.864524097358571,4.33296752665316,2.99479439891835,0.00987551619765029,0.524318613887465,-4.1080020061195
"12","GB41839",30,66,51,51,67,62,8,13,19,18,48,29,0.813699263384113,2.32253563843449,3.26090988927302,0.00585279153359528,0.524318613887465,-4.30349361714177
"13","GB41876",9,56,77,42,38,51,3,4,6,8,32,21,1.46686950167722,1.54748075569894,3.24897277124319,0.0059918931421538,0.524318613887465,-4.37687121464685
"14","GB41893",60,93,187,104,87,123,26,22,59,46,60,69,0.645793847803017,3.37200346049723,3.03727423343532,0.00908544533158751,0.524318613887465,-4.21269008640806
"15","GB41905",124,236,144,150,171,231,172,88,128,228,235,180,-0.515730630562187,4.69128276910149,-3.04853502490757,0.00888672110358164,0.524318613887465,-4.01740976997193
"16","GB41972",26,57,53,35,34,61,12,8,18,22,31,18,0.729762410803836,2.06533895735499,3.5931868268977,0.00304627732864573,0.524318613887465,-4.29114576948816
"17","GB42360",155,282,386,243,266,354,104,64,134,129,199,207,0.452181727106807,4.85547738052162,3.42078594869695,0.00427345302464635,0.524318613887465,-3.92231320912203
"18","GB42561",99,121,110,101,107,138,98,54,80,159,138,124,-0.471169293129108,4.0531637902676,-2.97922577528076,0.0101817791024605,0.524318613887465,-4.11565384585649
"19","GB42723",309,562,221,296,389,504,647,273,377,804,409,433,-0.96709857711422,5.97748448778078,-3.3370189362042,0.00503880055985117,0.524318613887465,-3.93788271008877
"20","GB43080",67,135,176,87,81,115,10,12,48,24,91,71,1.04826561385881,3.15413249380751,3.16856413335765,0.00701890311906604,0.524318613887465,-4.22623580871581
"21","GB43376",345,423,269,251,371,395,418,232,282,483,375,391,-0.672769329087221,5.7346917483364,-3.07223455990539,0.00848245369318147,0.524318613887465,-3.99571293145578
"22","GB43558",710,1578,1539,1032,838,1388,242,289,401,561,934,890,0.638342201877315,6.83711722422796,3.1176597433855,0.00775792899011755,0.524318613887465,-4.08801291478964
"23","GB43872",31,33,34,26,19,32,3,3,20,9,17,15,0.984916045517592,1.34502482327625,2.99395862817508,0.00989172351221358,0.524318613887465,-4.41012089888895
"24","GB43978",109,188,197,183,262,313,22,43,101,49,144,118,0.959607308239184,4.1457709422993,3.34807567802591,0.0049303828317653,0.524318613887465,-4.04990178033375
"25","GB44224",18,17,27,19,15,25,17,23,21,52,22,32,-0.938277947794935,1.83498067919039,-3.20137379839185,0.00658018223436298,0.524318613887465,-4.34895157920292
"26","GB44252",52,64,118,51,57,60,8,8,35,16,51,34,0.989453667068926,2.48985057294429,3.14952915471826,0.00728666956306418,0.524318613887465,-4.30317839634881
"27","GB44285",164,225,307,247,264,278,80,51,147,88,172,187,0.538954942452455,4.65692922591113,3.20721391573077,0.00650500783285261,0.524318613887465,-4.00113439063423
"28","GB44307",243,340,492,303,266,362,95,62,164,163,291,235,0.501000908105845,5.08857788714302,3.05252941842269,0.00881727031837223,0.524318613887465,-4.0156546644676
"29","GB44365",51,85,82,56,47,54,13,7,37,24,48,28,0.794689006387859,2.51800406443245,3.03242392818061,0.00917239156722173,0.524318613887465,-4.31389487232314
"30","GB44640",39,86,139,75,52,70,4,10,25,23,44,46,1.20055087416036,2.53399382413284,3.27916645471801,0.00564627059676247,0.524318613887465,-4.28445823634307
"31","GB44643",74,138,219,123,114,116,18,19,49,22,103,91,1.00607904971783,3.43642018414025,3.22578270596236,0.00627163720818848,0.524318613887465,-4.17776935651472
"32","GB44800",23,20,41,18,30,18,5,1,13,4,19,8,1.23766879482802,0.968995097679729,3.01689797033091,0.00945628678058604,0.524318613887465,-4.4281707260618
"33","GB44931",125,228,138,146,169,253,143,130,147,239,185,189,-0.546353822850637,4.71322639918828,-2.9662451010802,0.0104442918081335,0.524318613887465,-4.03953691218234
"34","GB44959",117,245,262,188,167,249,21,19,96,67,168,130,0.954182818251759,4.10134160796964,3.30768494392718,0.00533816115449473,0.524318613887465,-4.06844019339122
"35","GB45168",40,87,119,62,82,103,9,21,43,29,47,52,0.816685429546702,2.88753720425623,3.03237508357122,0.00917327133065767,0.524318613887465,-4.27475899478727
"36","GB45337",47,79,82,66,61,88,14,13,34,27,53,48,0.681823415333386,2.76730340813193,3.60438878270156,0.00298011885003105,0.524318613887465,-4.20510781650909
"37","GB45387",125,253,399,213,194,285,27,35,104,76,127,181,0.960936782665645,4.3451317365938,3.61985129732827,0.0028911778636268,0.524318613887465,-3.96353910666299
"38","GB45433",370,629,490,460,520,596,634,251,435,708,515,535,-0.563848448571655,6.2586126719357,-2.98034956744195,0.0101593612299394,0.524318613887465,-4.06074471844822
"39","GB45610",127,245,140,161,187,241,148,137,191,388,222,161,-0.706083843720223,4.84608756691809,-2.99058751235841,0.00995736376393029,0.524318613887465,-4.02297866766542
"40","GB45708",90,56,93,106,47,398,126,138,143,246,197,146,-1.2509017131706,4.29054314881947,-3.11166607940584,0.00784988679107961,0.524318613887465,-4.05974791895512
"41","GB45771",8,14,17,23,13,18,15,18,18,33,19,21,-0.958533829051657,1.44946340925636,-3.3948522618752,0.00449701416965726,0.524318613887465,-4.36128793402128
"42","GB45812",75,149,279,128,156,180,14,24,58,24,127,95,1.16374685095062,3.62993350915271,3.31867373838132,0.00522398488018501,0.524318613887465,-4.13809489808714
"43","GB46253",308,571,755,500,366,828,66,109,256,161,376,329,0.896270415427779,5.57551987953498,3.27994349000058,0.00563764425474539,0.524318613887465,-3.96649801336351
"44","GB46262",70,110,179,100,94,143,13,17,38,38,84,63,1.01761748982449,3.27082065365484,4.10335550708521,0.00112932153381844,0.524318613887465,-4.06385588341364
"45","GB46282",131,206,285,170,155,235,41,35,72,54,134,133,0.846553917457702,4.14286076977886,4.36858557210244,0.000679891542879981,0.524318613887465,-3.84150855837876
