"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB52836",2521,3623,1302,4719,4981,5177,9857,7635,17255,17950,7274,12961,-1.71146565194097,9.47724936768638,-5.39571836344145,0.000121980519575566,0.588434026432533,-3.88239618015601
"2","GB53345",184,344,100,140,300,252,208,267,330,414,525,570,-0.760903342678664,4.96221759886009,-5.43174854636194,0.000114689322819279,0.588434026432533,-3.26057541377965
"3","GB40094",117,105,60,75,89,78,80,170,155,121,165,170,-0.682824112685296,3.65308632121275,-3.16380516577571,0.00746940965117197,0.999947233322818,-4.01580764456332
"4","GB40228",11,61,5,15,44,85,6,10,11,31,9,9,1.32469512795007,0.95266801528795,2.6037989969253,0.0218461136199459,0.999947233322818,-4.41010881104375
"5","GB40400",65,103,20,117,151,88,51,112,130,171,218,155,-0.637215913099537,3.52029524703072,-2.54180117653418,0.0245687775198776,0.999947233322818,-4.2049575920796
"6","GB40409",76,51,30,140,91,55,34,111,142,199,200,152,-0.915980702142194,3.37442089941589,-2.55250279548022,0.0240764294280384,0.999947233322818,-4.22072885406584
"7","GB40421",23,41,3,7,28,31,24,33,19,32,58,48,-0.835578955250982,1.45684684720069,-2.45828003491585,0.0287598004100226,0.999947233322818,-4.40105894470924
"8","GB40712",141,217,63,149,228,220,114,93,109,151,192,128,0.391170766169599,4.02588097256728,2.81107566617051,0.0147129065885086,0.999947233322818,-4.05732006275614
"9","GB40963",10,29,7,12,24,16,23,25,27,25,26,33,-0.712407468628505,1.21074099291521,-3.16728966038231,0.00741946638385197,0.999947233322818,-4.3236473457915
"10","GB41228",130,267,55,144,262,551,143,69,135,128,57,44,1.32053402763253,3.87217918221087,3.00169921318313,0.0102042784323366,0.999947233322818,-4.04025141005086
"11","GB41618",21,19,6,5,17,10,17,16,25,25,22,21,-0.739275225890182,0.866588018430281,-2.60933909695037,0.0216175872115022,0.999947233322818,-4.41165229270414
"12","GB41699",13,13,11,13,19,7,8,27,29,38,42,34,-1.10820273695718,1.09049638454871,-3.34471764429531,0.00527318473787348,0.999947233322818,-4.31283291130003
"13","GB41776",489,448,265,122,512,404,110,99,53,217,336,348,1.1268361446095,4.72786286654352,2.86158267641917,0.0133556038174333,0.999947233322818,-3.98821380902645
"14","GB41786",596,640,344,400,663,540,537,691,933,732,703,957,-0.458108261546225,6.15727164944045,-2.58755478314397,0.0225297831250148,0.999947233322818,-4.08924457679247
"15","GB41834",91,126,50,65,115,122,50,53,63,96,112,66,0.415227003829613,3.19982254145136,2.77015508274652,0.0159113032610847,0.999947233322818,-4.18398213050597
"16","GB42145",38,50,20,26,62,59,32,57,71,47,72,78,-0.44815738380057,2.45937158153379,-2.46844501830766,0.0282151243316563,0.999947233322818,-4.32910041328375
"17","GB42150",1318,1403,552,905,2180,1630,1039,1377,1574,1744,2567,1946,-0.359870937773501,7.34785935428786,-2.8958443998343,0.0125059204280513,0.999947233322818,-4.0892057804053
"18","GB42334",213,156,119,159,230,240,198,222,343,263,382,299,-0.576412454403613,4.68969905384481,-3.215655153124,0.006759778151347,0.999947233322818,-3.85020145249625
"19","GB42703",10,10,4,9,10,27,14,13,23,36,39,35,-1.19746764216291,0.896353839341337,-3.94203950747156,0.00168631202432343,0.999947233322818,-4.26960576594037
"20","GB42794",8509,18658,5184,8700,13052,13276,8185,13687,13002,20990,18494,29627,-0.543494431297104,10.5333339850538,-2.58542148853069,0.0226210949200614,0.999947233322818,-4.34265275925464
"21","GB42897",14,12,6,17,14,18,25,22,33,34,28,27,-1.02045414962124,1.16011732448251,-3.9320109261346,0.00171855575193438,0.999947233322818,-4.24598076938838
"22","GB43015",295,426,173,218,512,434,259,434,431,381,562,602,-0.356288526861777,5.41413964525068,-2.83638079812588,0.014016702216165,0.999947233322818,-3.96275735467548
"23","GB43028",29,20,26,12,21,24,13,10,3,19,14,8,1.07966723921777,0.78396866659949,2.52886144604496,0.0251771054428873,0.999947233322818,-4.42681018381463
"24","GB43446",491,508,119,236,627,381,316,566,372,565,628,1066,-0.564206913626006,5.63724235802991,-2.50699508843408,0.0262383096570963,0.999947233322818,-4.09435759730583
"25","GB43711",45,119,28,51,86,83,42,101,66,116,193,161,-0.649465537534733,3.18678598781447,-2.7990645293718,0.0150551565834349,0.999947233322818,-4.18024517667212
"26","GB44011",92,97,42,62,118,79,64,99,112,92,142,134,-0.357099926980337,3.37533999986467,-2.52478768372816,0.0253716171892421,0.999947233322818,-4.22452499041185
"27","GB44056",894,1136,432,884,1145,1120,531,664,661,867,1205,686,0.345434366275201,6.54837126525161,2.74338283179912,0.0167466552028858,0.999947233322818,-4.06339761721075
"28","GB44089",27,39,12,19,40,39,37,33,54,30,51,58,-0.538971091833419,1.98149968427327,-2.5862121116051,0.0225872119485791,0.999947233322818,-4.34560506938619
"29","GB44099",39,41,15,41,45,34,32,59,54,36,112,111,-0.782596561238474,2.39029353076534,-2.95529631222605,0.0111564401592458,0.999947233322818,-4.24471112151192
"30","GB44115",162,261,72,153,253,207,107,122,127,186,202,175,0.283425746323847,4.20069746719891,2.55564342277865,0.023933760156886,0.999947233322818,-4.11939169690828
"31","GB44127",262,419,140,252,470,395,238,332,333,422,551,513,-0.274949913906282,5.2857472598776,-2.83105664141201,0.0141604362252857,0.999947233322818,-3.96198973242712
"32","GB44192",263,417,233,191,186,120,239,402,382,344,432,538,-0.783391906001365,5.05122713358566,-2.45671087375678,0.0288447771900701,0.999947233322818,-4.11018307761277
"33","GB44344",146,276,81,132,225,270,63,143,119,129,142,184,0.557798202974726,4.07698093828893,3.28608416771456,0.00590281263361146,0.999947233322818,-3.90834661524882
"34","GB44367",126,162,49,44,100,515,6,54,52,139,70,2,2.15728818295966,2.70258349681012,2.55827537412498,0.0238148290568788,0.999947233322818,-4.30232992905691
"35","GB44416",254,368,100,209,329,327,138,176,226,220,307,261,0.271846551325896,4.72066972439153,2.46040966263933,0.0286448567843877,0.999947233322818,-4.11338154999809
"36","GB44452",64,67,28,60,80,67,81,61,77,117,120,76,-0.48763172331306,3.03591346410248,-2.666501236665,0.0193913751352438,0.999947233322818,-4.22975594167919
"37","GB44514",426,619,193,416,569,637,247,319,290,401,597,340,0.420620190736471,5.50714528882983,3.33676595539109,0.00535444402909446,0.999947233322818,-3.78599966553391
