"","ID","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40210",9,16,13,12,10,11,4,2,1,7,5,7,1.34268665291096,0.355771898187777,2.88869613832315,0.0120468844883987,0.998443981001446,-4.4782662585938
"2","GB40888",180,45,254,143,160,205,107,356,154,153,301,239,-0.606853991689933,4.94843310044646,-2.86386053043214,0.0126489977904157,0.998443981001446,-4.10717052612592
"3","GB41129",145,58,157,125,90,177,77,281,177,125,187,135,-0.534411831164352,4.59158604304263,-2.63200410946077,0.0198928754671431,0.998443981001446,-4.19810086966996
"4","GB41484",156,137,252,123,124,214,123,270,194,149,247,226,-0.448404112316665,4.9974225742931,-2.92318885296055,0.0112571354333886,0.998443981001446,-4.08473423544056
"5","GB41617",161,157,405,162,337,195,116,235,81,100,132,146,0.633370973096409,4.91272209881516,2.68177079626226,0.0180586357820887,0.998443981001446,-4.16413899394831
"6","GB41716",22,11,27,20,11,17,2,18,8,8,9,10,0.847319681286754,1.12216779087857,2.69599496917002,0.0175652791874611,0.998443981001446,-4.46781868992964
"7","GB41732",407,398,644,468,483,529,209,436,231,279,367,179,0.668449926828799,6.02190334811251,3.34278854266615,0.00491647306289354,0.998443981001446,-3.98683364034021
"8","GB41809",110,69,172,101,154,154,95,254,107,101,329,137,-0.501062981135168,4.60897914407106,-2.90602185018953,0.0116436102087879,0.998443981001446,-4.12370257942041
"9","GB42111",110,64,169,125,130,233,81,279,131,132,248,197,-0.520697096739337,4.71085835719978,-3.4892768953823,0.00368085766779779,0.998443981001446,-3.96696380316437
"10","GB42324",50,68,136,54,53,59,76,176,182,108,229,60,-1.07718986115935,4.02676576097954,-3.27306674227781,0.00564315064075759,0.998443981001446,-4.13111007885494
"11","GB42365",104,53,170,128,117,160,75,252,100,107,227,133,-0.419018590842251,4.49096018522215,-2.6980043645211,0.0174966493288802,0.998443981001446,-4.18901002799225
"12","GB42755",176,127,206,178,185,261,102,346,188,204,336,265,-0.462118019059673,5.1919573632905,-3.48709843837711,0.00369672336244053,0.998443981001446,-3.92174444906606
"13","GB42891",11,25,123,18,40,40,6,22,13,11,12,7,1.41076214614296,1.78060721890484,3.13933977999486,0.00735054279527375,0.998443981001446,-4.39866895333608
"14","GB42904",12,19,53,15,23,16,10,5,10,13,4,6,1.38190277110314,1.20045941918124,2.82192994442789,0.0137332440082414,0.998443981001446,-4.45545730935828
"15","GB43256",533,913,1757,625,812,712,292,871,331,348,940,501,0.590775842326271,6.83691332506711,2.62267377453371,0.0202563046242012,0.998443981001446,-4.2309522941078
