"","ID","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40210",9,16,13,12,7,11,4,10,2,1,5,7,1.32627575651514,0.355771898187777,2.81725430872024,0.0138665318265379,0.998968064403703,-4.48332975192889
"2","GB40270",61,29,123,68,69,127,55,100,129,79,195,92,-0.490891521512837,3.93455884207703,-2.41470623373064,0.0302424976685719,0.998968064403703,-4.31648456472676
"3","GB40381",18,15,25,22,13,43,19,37,53,22,81,41,-0.888342967925911,2.35911311314736,-3.77060730006553,0.00211755050656877,0.998968064403703,-4.28728099692942
"4","GB40591",5,2,4,10,7,14,10,11,14,9,19,16,-1.06412812449628,0.731028968490134,-2.7796724728483,0.0149250323210167,0.998968064403703,-4.47641506467919
"5","GB40750",66,21,46,30,24,52,13,7,27,19,15,49,1.00812136490636,2.24206511075442,2.52168382249199,0.0246328468949174,0.998968064403703,-4.43127867972193
"6","GB40878",197,123,347,178,120,275,73,99,213,124,157,216,0.464509145674678,4.86813628408708,2.45783729225153,0.0278475821934616,0.998968064403703,-4.22665716745641
"7","GB41275",46,34,63,27,47,69,10,25,46,13,66,35,0.637067457537604,2.66521938750311,2.52990440994939,0.0242457893708351,0.998968064403703,-4.40371114436782
"8","GB41549",25,12,48,18,12,40,3,6,29,6,10,37,1.01921698847506,1.51113809341417,2.48538263803651,0.0264141688239238,0.998968064403703,-4.46984628579679
"9","GB41716",22,11,27,20,8,17,2,11,18,8,9,10,0.849810268663318,1.12216779087857,2.71606785282175,0.0168989160322364,0.998968064403703,-4.46563538390738
"10","GB41809",110,69,172,101,101,154,95,154,254,107,329,137,-0.563712983714594,4.60897914407106,-3.55412490561508,0.0032416036513719,0.998968064403703,-3.97172256336017
"11","GB41848",99,78,134,79,69,171,63,132,161,94,193,137,-0.335002543541046,4.31704414780324,-2.43203947789556,0.0292573142217477,0.998968064403703,-4.27483253577025
"12","GB41973",321,136,550,229,294,497,206,497,630,284,625,422,-0.480767172443387,5.99618408892335,-2.75421082002265,0.0156866174941356,0.998968064403703,-4.13841744238374
"13","GB42015",92,80,175,88,90,125,93,156,212,95,211,97,-0.40454846679479,4.4205346292146,-2.47242131846177,0.0270796227005505,0.998968064403703,-4.25597705620266
"14","GB42109",228,218,412,208,237,366,187,327,535,241,532,282,-0.319329846998617,5.73390843867255,-2.47776661708424,0.0268032635802507,0.998968064403703,-4.2068672624143
"15","GB42310",749,776,2311,626,194,414,368,4217,1727,739,2885,2439,-1.27442064117993,7.48559169261575,-2.52214510573323,0.0246109714686765,0.998968064403703,-4.30253250839873
"16","GB42622",7,21,15,19,8,13,3,9,16,2,6,5,1.00756813036716,0.692405823105925,2.46339530791729,0.0275524840800466,0.998968064403703,-4.49841370586424
"17","GB42796",18,10,24,17,23,22,6,2,13,17,18,6,1.07297189745101,1.21007722342952,2.47549741784117,0.0269202526119427,0.998968064403703,-4.48204148150876
"18","GB42904",12,19,53,15,13,16,10,23,5,10,4,6,1.23531373466687,1.20045941918124,2.4087951081661,0.0305856487290175,0.998968064403703,-4.48789481280177
"19","GB43085",29,19,14,26,13,31,2,8,10,7,9,16,1.30646802016667,1.23327703322312,3.40243365693252,0.00437319730721859,0.998968064403703,-4.41005513528627
"20","GB43278",26,10,30,9,16,29,4,3,11,5,5,25,1.36204434085423,1.05253000197032,3.1942499915467,0.00659919555399811,0.998968064403703,-4.43372824051472
"21","GB43670",2,2,26,2,10,5,8,59,19,16,20,9,-1.69501032696213,0.814608325771179,-2.97597535162363,0.0101520325874819,0.998968064403703,-4.46031338005517
"22","GB43711",56,40,184,38,53,77,25,64,34,45,23,39,0.916073399897934,3.12020957214408,2.54977126207895,0.0233343834605697,0.998968064403703,-4.36700613135439
"23","GB43719",31,8,40,18,16,34,4,17,22,5,21,18,0.745194061850729,1.58045543590483,2.44929907679664,0.0283068085740278,0.998968064403703,-4.46972301963689
"24","GB43869",92,18,32,55,37,51,6,12,15,34,7,60,1.36604143230987,2.25149982491159,2.41246592035173,0.0303721176054077,0.998968064403703,-4.44491302822142
"25","GB44065",88,66,115,66,69,118,41,69,104,29,81,59,0.457968378258125,3.67311850457896,2.70566398236362,0.0172451186678724,0.998968064403703,-4.2830416176736
"26","GB44263",53,17,35,29,22,77,8,17,15,23,12,40,1.03624398277533,2.14105371287566,2.6022709331267,0.0210820265097869,0.998968064403703,-4.42776104662541
"27","GB44411",81,37,84,56,53,74,12,32,96,31,38,55,0.637095856588604,3.114057815723,2.49438462698997,0.0259612473723211,0.998968064403703,-4.37605767906957
"28","GB44548",163,47,265,144,152,63,114,207,477,444,216,175,-1.07552689183312,4.92910451960365,-2.54504789953402,0.0235480350056792,0.998968064403703,-4.21227027144026
"29","GB44607",20,37,56,19,24,38,10,26,31,12,23,12,0.72263844868719,2.06879641342022,2.66879864236362,0.0185282577388575,0.998968064403703,-4.42385704146095
"30","GB44657",69,22,69,47,27,87,16,29,26,31,34,40,0.78680412472168,2.74375527914025,2.82914846881433,0.0135471031335236,0.998968064403703,-4.35742019158149
"31","GB44745",36,20,34,34,20,36,7,4,12,27,15,40,1.09345868057702,1.8683474601622,2.40531606672815,0.0307893444695249,0.998968064403703,-4.46265502717743
"32","GB44973",15,8,25,10,8,30,9,9,5,5,12,5,1.00362849135522,0.91290815296222,2.79062719830542,0.0146085893750346,0.998968064403703,-4.46787259503694
"33","GB45034",99,57,132,106,61,128,27,59,69,39,58,106,0.730795901916882,3.68592293341768,3.38869276924436,0.00449355162761838,0.998968064403703,-4.15760904363544
"34","GB45312",296,215,485,342,364,603,320,356,727,347,758,493,-0.421126984761251,6.21912647607741,-2.42996125079301,0.0293737996257098,0.998968064403703,-4.2413377421699
"35","GB45313",24,21,87,27,36,50,30,87,64,40,76,51,-0.579887341073279,3.00923210092977,-2.43318355064428,0.0291933768698721,0.998968064403703,-4.3930430367753
"36","GB45377",795,658,1552,763,1105,1754,963,1542,1659,1276,2101,1172,-0.525394302159797,7.76045993132129,-2.65297471289553,0.019107036918701,0.998968064403703,-4.29198563901271
